,eventid,carno,pit_id,lap_number,lap_time,lap_cnt,cautionlap_cnt,pit_oncaution_len,pit_oncaution
0,0,1,0,31,52.84739999999988,31,3,0,0
1,0,1,1,58,93.63630000000012,26,9,1,1
2,0,1,2,90,53.63270000000011,31,2,0,0
3,0,1,3,122,52.41650000000027,31,0,0,0
4,0,1,4,152,52.1288999999997,29,0,0,0
5,0,1,5,181,51.65689999999995,28,0,0,0
6,0,2,0,32,54.61290000000008,32,3,0,0
7,0,2,1,39,107.20499999999993,6,5,5,1
8,0,2,2,58,91.29849999999988,18,4,1,1
9,0,2,3,90,53.810599999999795,31,2,0,0
10,0,2,4,112,55.62109999999939,21,0,0,0
11,0,2,5,143,53.467899999999645,30,0,0,0
12,0,2,6,173,52.70300000000043,29,0,0,0
13,0,3,0,32,53.88959999999997,32,3,0,0
14,0,3,1,58,93.65200000000004,25,9,1,1
15,0,3,2,92,53.63050000000021,33,2,0,0
16,0,3,3,123,52.990600000000086,30,0,0,0
17,0,3,4,154,52.531699999999546,30,0,0,0
18,0,3,5,185,52.69220000000132,30,0,0,0
19,0,5,0,30,53.461700000000064,30,3,0,0
20,0,5,1,58,93.14139999999998,27,9,1,1
21,0,5,2,91,52.58049999999912,32,2,0,0
22,0,5,3,122,52.17869999999948,30,0,0,0
23,0,5,4,153,54.266200000000026,30,0,0,0
24,0,5,5,181,52.44209999999839,27,0,0,0
25,0,6,0,31,71.07489999999984,31,3,0,0
26,0,7,0,32,68.19610000000011,32,3,0,0
27,0,7,1,58,101.47580000000016,25,10,1,1
28,0,7,2,92,66.30230000000029,33,2,0,0
29,0,7,3,121,66.34950000000026,28,0,0,0
30,0,7,4,152,66.43549999999959,30,0,0,0
31,0,7,5,178,699.5504000000001,25,0,0,0
32,0,8,0,32,69.06020000000012,32,3,0,0
33,0,8,1,58,102.55169999999998,25,10,1,1
34,0,8,2,90,67.38960000000043,31,2,0,0
35,0,8,3,121,68.47890000000007,30,0,0,0
36,0,8,4,152,68.48229999999967,30,0,0,0
37,0,8,5,182,66.17499999999927,29,0,0,0
38,0,9,0,32,55.029399999999896,32,3,0,0
39,0,9,1,58,90.99800000000005,25,9,1,1
40,0,9,2,91,51.91520000000037,32,2,0,0
41,0,9,3,123,51.76669999999922,31,0,0,0
42,0,9,4,156,53.48329999999987,32,0,0,0
43,0,9,5,183,52.81970000000001,26,0,0,0
44,0,10,0,32,54.58919999999989,32,3,0,0
45,0,10,1,58,90.08210000000008,25,9,1,1
46,0,10,2,92,54.12950000000001,33,2,0,0
47,0,10,3,124,52.79370000000017,31,0,0,0
48,0,10,4,156,53.51400000000103,31,0,0,0
49,0,10,5,188,51.603800000000774,31,0,0,0
50,0,11,0,29,54.018800000000056,29,3,0,0
51,0,11,1,58,93.60630000000037,28,9,1,1
52,0,11,2,90,53.461999999999534,31,2,0,0
53,0,11,3,121,53.44589999999971,30,0,0,0
54,0,11,4,153,53.311100000000806,31,0,0,0
55,0,11,5,178,52.76800000000003,24,0,0,0
56,0,12,0,33,54.996000000000095,33,3,0,0
57,0,12,1,58,91.99510000000055,24,9,1,1
58,0,12,2,89,53.16899999999987,30,2,0,0
59,0,12,3,121,53.65279999999984,31,0,0,0
60,0,12,4,154,52.70600000000013,32,0,0,0
61,0,12,5,185,52.52130000000034,30,0,0,0
62,0,12,6,196,130.4940000000006,10,2,2,1
63,0,14,0,31,67.03420000000006,31,3,0,0
64,0,14,1,59,73.34270000000015,27,10,2,1
65,0,14,2,91,66.51999999999953,31,1,0,0
66,0,14,3,116,68.14919999999984,24,0,0,0
67,0,14,4,146,65.74039999999968,29,0,0,0
68,0,14,5,175,66.30149999999958,28,0,0,0
69,0,15,0,5,140.4095,5,1,1,1
70,0,15,1,38,136.35069999999996,32,4,3,1
71,0,15,2,58,101.36369999999988,19,5,1,1
72,0,15,3,90,66.02980000000025,31,2,0,0
73,0,15,4,121,67.16409999999996,30,0,0,0
74,0,15,5,152,72.89889999999923,30,0,0,0
75,0,15,6,171,64.76560000000063,18,0,0,0
76,0,16,0,5,140.6742,5,1,1,1
77,0,16,1,38,138.97450000000003,32,4,3,1
78,0,16,2,58,103.45980000000009,19,5,1,1
79,0,16,3,91,90.75990000000002,32,2,0,0
80,0,16,4,95,53.25839999999971,3,0,0,0
81,0,16,5,120,68.84189999999944,24,0,0,0
82,0,16,6,151,72.73719999999958,30,0,0,0
83,0,16,7,180,70.09059999999954,28,0,0,0
84,0,18,0,31,84.4070999999999,31,3,0,0
85,0,18,1,40,86.47389999999996,8,6,6,1
86,0,18,2,58,109.7497999999996,17,3,1,1
87,0,18,3,91,71.98659999999927,32,2,0,0
88,0,18,4,121,70.51940000000013,29,0,0,0
89,0,18,5,152,72.01730000000043,30,0,0,0
90,0,18,6,183,69.16280000000006,30,0,0,0
91,0,19,0,32,69.30539999999974,32,3,0,0
92,0,19,1,58,103.97040000000015,25,9,1,1
93,0,19,2,91,70.72580000000016,32,2,0,0
94,0,19,3,121,72.05630000000019,29,0,0,0
95,0,19,4,153,70.48949999999968,31,0,0,0
96,0,19,5,183,65.72689999999966,29,0,0,0
97,0,20,0,30,53.269199999999955,30,3,0,0
98,0,20,1,58,93.99990000000025,27,9,1,1
99,0,20,2,90,53.71069999999963,31,2,0,0
100,0,20,3,121,54.17279999999937,30,0,0,0
101,0,20,4,153,53.79740000000038,31,0,0,0
102,0,20,5,178,53.31080000000111,24,0,0,0
103,0,21,0,27,75.34270000000015,27,3,0,0
104,0,21,1,37,150.64009999999985,9,3,3,1
105,0,21,2,57,101.38129999999956,19,5,1,1
106,0,21,3,67,274.9886999999999,9,2,0,0
107,0,21,4,96,68.59910000000036,28,0,0,0
108,0,21,5,125,69.47339999999986,28,0,0,0
109,0,21,6,153,68.94989999999962,27,0,0,0
110,0,21,7,171,66.68139999999948,17,0,0,0
111,0,22,0,31,53.83479999999986,31,3,0,0
112,0,22,1,58,90.94780000000037,26,9,1,1
113,0,22,2,90,54.79179999999997,31,2,0,0
114,0,22,3,121,53.76329999999962,30,0,0,0
115,0,22,4,153,54.784599999999955,31,0,0,0
116,0,22,5,181,53.52150000000074,27,0,0,0
117,0,25,0,30,52.67670000000021,30,3,0,0
118,0,25,1,58,93.7148000000002,27,9,1,1
119,0,25,2,90,53.82020000000011,31,2,0,0
120,0,25,3,121,52.344099999999344,30,0,0,0
121,0,25,4,151,52.268299999999726,29,0,0,0
122,0,25,5,180,52.172200000000885,28,0,0,0
123,0,26,0,31,53.82100000000014,31,3,0,0
124,0,26,1,58,93.22960000000012,26,9,1,1
125,0,26,2,92,53.5029999999997,33,2,0,0
126,0,26,3,123,53.527100000000246,30,0,0,0
127,0,26,4,155,53.101300000000265,31,0,0,0
128,0,26,5,185,52.98559999999998,29,0,0,0
