,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,predtrack,5,aa,115,0.483,0.330,0.690,0.544,0.709,23.184
0,predtrack,10,00,2,1.000,1.000,0.950,0.900,0.896,3.461
1,predtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predtrack,10,01,51,0.425,0.196,0.609,0.306,0.588,40.994
3,predtrack,10,11,57,0.407,0.263,0.548,0.389,0.594,30.893
4,predtrack,10,aa,110,0.426,0.245,0.583,0.360,0.597,35.077
0,predpit,2,00,27,0.722,0.704,0.870,0.837,0.854,13.414
1,predpit,2,10,11,0.773,0.727,0.809,0.800,0.781,18.134
2,predpit,2,01,49,0.582,0.469,0.794,0.727,0.825,14.218
3,predpit,2,11,31,0.758,0.677,0.884,0.845,0.879,8.386
4,predpit,2,aa,118,0.678,0.602,0.836,0.790,0.842,12.867
0,predpit,5,00,13,0.662,0.615,0.760,0.662,0.704,31.542
1,predpit,5,10,2,0.600,0.500,0.840,0.800,0.706,20.262
2,predpit,5,01,54,0.407,0.241,0.680,0.489,0.671,29.902
3,predpit,5,11,46,0.517,0.391,0.709,0.570,0.721,22.344
4,predpit,5,aa,115,0.483,0.348,0.703,0.546,0.695,26.897
0,predpit,10,00,2,1.000,1.000,0.960,0.900,0.920,2.507
1,predpit,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predpit,10,01,51,0.420,0.255,0.558,0.294,0.514,51.758
3,predpit,10,11,57,0.402,0.211,0.581,0.393,0.597,31.662
4,predpit,10,aa,110,0.421,0.245,0.577,0.356,0.564,40.449
0,curtrack,2,00,27,0.815,0.778,0.948,0.919,0.924,5.609
1,curtrack,2,10,11,0.545,0.545,0.791,0.673,0.778,15.855
2,curtrack,2,01,49,0.582,0.469,0.806,0.739,0.842,12.538
3,curtrack,2,11,31,0.629,0.452,0.794,0.716,0.807,13.887
4,curtrack,2,aa,118,0.644,0.542,0.834,0.768,0.846,11.616
0,curtrack,5,00,13,0.800,0.769,0.877,0.831,0.852,11.400
1,curtrack,5,10,2,0.100,0.000,0.260,0.000,0.187,83.654
2,curtrack,5,01,54,0.437,0.222,0.697,0.504,0.694,26.897
3,curtrack,5,11,46,0.391,0.261,0.557,0.370,0.644,28.429
4,curtrack,5,aa,115,0.454,0.296,0.654,0.478,0.683,26.745
0,curtrack,10,00,2,1.000,1.000,0.940,0.900,0.920,2.543
1,curtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,curtrack,10,01,51,0.424,0.216,0.601,0.286,0.584,41.568
3,curtrack,10,11,57,0.344,0.175,0.493,0.312,0.559,35.223
4,curtrack,10,aa,110,0.393,0.209,0.551,0.311,0.578,37.570
0,zerotrack,2,00,27,0.815,0.778,0.970,0.963,0.955,1.878
1,zerotrack,2,10,11,0.636,0.636,0.882,0.855,0.842,7.826
2,zerotrack,2,01,49,0.582,0.469,0.808,0.743,0.844,12.479
3,zerotrack,2,11,31,0.694,0.613,0.823,0.800,0.849,9.491
4,zerotrack,2,aa,118,0.669,0.593,0.856,0.819,0.870,8.835
0,zerotrack,5,00,13,0.862,0.846,0.914,0.877,0.909,4.176
1,zerotrack,5,10,2,0.100,0.000,0.720,0.600,0.696,17.023
2,zerotrack,5,01,54,0.437,0.259,0.700,0.500,0.703,25.798
3,zerotrack,5,11,46,0.461,0.370,0.696,0.574,0.748,17.972
4,zerotrack,5,aa,115,0.489,0.365,0.723,0.574,0.744,20.071
0,zerotrack,10,00,2,1.000,1.000,0.960,0.900,0.923,2.300
1,zerotrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,zerotrack,10,01,51,0.447,0.176,0.612,0.298,0.601,39.313
3,zerotrack,10,11,57,0.402,0.228,0.585,0.418,0.634,27.039
4,zerotrack,10,aa,110,0.434,0.218,0.604,0.371,0.624,32.280
0,baseline,2,00,27,0.685,0.630,0.833,0.756,0.831,9.858
1,baseline,2,10,11,0.591,0.545,0.636,0.618,0.658,27.402
2,baseline,2,01,49,0.429,0.286,0.741,0.637,0.743,18.996
3,baseline,2,11,31,0.387,0.258,0.635,0.535,0.696,22.754
4,baseline,2,aa,118,0.492,0.381,0.725,0.636,0.743,18.676
0,baseline,5,00,13,0.492,0.000,0.671,0.477,0.712,22.297
1,baseline,5,10,2,0.200,0.000,0.300,0.100,0.331,64.185
2,baseline,5,01,54,0.304,0.093,0.569,0.315,0.567,37.597
3,baseline,5,11,46,0.396,0.326,0.535,0.343,0.601,31.153
4,baseline,5,aa,115,0.360,0.174,0.562,0.341,0.593,33.752
0,baseline,10,00,2,0.800,0.500,0.780,0.500,0.780,11.604
1,baseline,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,baseline,10,01,51,0.325,0.059,0.522,0.224,0.508,48.716
3,baseline,10,11,57,0.246,0.123,0.490,0.319,0.508,40.548
4,baseline,10,aa,110,0.293,0.100,0.510,0.278,0.513,43.809
0,baseline,2,00,27,0.833,0.815,0.933,0.911,0.903,6.787
1,baseline,2,10,11,0.636,0.636,0.773,0.764,0.717,24.652
2,baseline,2,01,49,0.592,0.510,0.786,0.714,0.793,16.351
3,baseline,2,11,31,0.565,0.452,0.806,0.742,0.808,14.135
4,baseline,2,aa,118,0.644,0.576,0.824,0.771,0.815,14.354
0,baseline,5,00,13,0.815,0.769,0.865,0.846,0.785,17.928
1,baseline,5,10,2,0.200,0.000,0.560,0.300,0.531,46.577
2,baseline,5,01,54,0.474,0.296,0.684,0.511,0.660,29.736
3,baseline,5,11,46,0.439,0.304,0.657,0.500,0.655,28.393
4,baseline,5,aa,115,0.494,0.348,0.692,0.541,0.670,28.157
0,baseline,10,00,2,0.850,0.500,0.960,0.900,0.860,6.764
1,baseline,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,baseline,10,01,51,0.445,0.255,0.617,0.345,0.550,44.457
3,baseline,10,11,57,0.307,0.140,0.504,0.340,0.508,40.743
4,baseline,10,aa,110,0.381,0.200,0.565,0.353,0.534,41.847
0,baseline,2,00,27,0.926,0.926,0.993,0.985,0.978,0.798
1,baseline,2,10,11,0.955,0.909,0.955,0.945,0.957,1.491
2,baseline,2,01,49,0.582,0.469,0.780,0.718,0.824,15.229
3,baseline,2,11,31,0.774,0.710,0.916,0.890,0.927,5.731
4,baseline,2,aa,118,0.746,0.678,0.881,0.846,0.899,8.151
0,baseline,5,00,13,1.000,1.000,1.000,1.000,0.966,1.673
1,baseline,5,10,2,1.000,1.000,0.860,0.800,0.927,1.800
2,baseline,5,01,54,0.496,0.315,0.702,0.522,0.715,26.597
3,baseline,5,11,46,0.661,0.587,0.825,0.743,0.851,11.531
4,baseline,5,aa,115,0.628,0.513,0.788,0.670,0.802,17.322
0,baseline,10,00,2,1.000,1.000,1.000,1.000,0.950,4.421
1,baseline,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,baseline,10,01,51,0.494,0.196,0.646,0.353,0.619,39.859
3,baseline,10,11,57,0.542,0.421,0.690,0.572,0.732,20.158
4,baseline,10,aa,110,0.528,0.327,0.675,0.478,0.683,29.006
