,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
2,zerotrack,5,01,54,331.000,-0.925,5.437,5.437,6.148,0.045
3,zerotrack,5,11,46,216.000,-0.755,5.117,5.117,4.713,0.037
4,zerotrack,5,aa,115,547.000,-1.966,5.313,5.313,4.775,0.036
0,zerotrack,10,00,2,0.000,-0.011,5.600,5.600,0.009,0.000
1,zerotrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,zerotrack,10,01,51,539.000,-0.238,5.549,5.549,10.577,0.038
3,zerotrack,10,11,57,516.000,-0.245,5.049,5.049,9.061,0.036
4,zerotrack,10,aa,110,1055.000,-0.494,5.291,5.291,9.600,0.036
0,deepAR,2,00,27,0.000,-0.579,5.333,5.333,0.022,0.000
1,deepAR,2,10,11,0.000,-0.164,5.073,5.073,0.016,0.000
2,deepAR,2,01,49,146.000,-0.963,5.457,5.457,3.000,0.055
3,deepAR,2,11,31,76.000,-0.603,5.200,5.200,2.471,0.048
4,deepAR,2,aa,118,222.000,-2.309,5.325,5.325,1.901,0.035
0,deepAR,5,00,13,0.000,-0.258,5.508,5.508,0.020,0.000
1,deepAR,5,10,2,0.000,-0.047,5.200,5.200,0.024,0.000
2,deepAR,5,01,54,331.000,-0.932,5.437,5.437,6.147,0.045
3,deepAR,5,11,46,216.000,-0.738,5.117,5.117,4.712,0.037
4,deepAR,5,aa,115,547.000,-1.975,5.313,5.313,4.774,0.036
0,deepAR,10,00,2,0.000,-0.020,5.600,5.600,0.013,0.000
1,deepAR,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,deepAR,10,01,51,539.000,-0.581,5.549,5.549,10.582,0.038
3,deepAR,10,11,57,516.000,-0.656,5.049,5.049,9.066,0.036
4,deepAR,10,aa,110,1055.000,-1.257,5.291,5.291,9.605,0.036
0,zero,2,00,27,0.000,0.000,5.333,5.333,0.000,0.000
1,zero,2,10,11,0.000,0.000,5.073,5.073,0.000,0.000
2,zero,2,01,49,146.000,0.000,5.457,5.457,2.980,0.055
3,zero,2,11,31,76.000,0.000,5.200,5.200,2.452,0.048
4,zero,2,aa,118,222.000,0.000,5.325,5.325,1.881,0.035
0,zero,5,00,13,0.000,0.000,5.508,5.508,0.000,0.000
1,zero,5,10,2,0.000,0.000,5.200,5.200,0.000,0.000
2,zero,5,01,54,331.000,0.000,5.437,5.437,6.130,0.045
3,zero,5,11,46,216.000,0.000,5.117,5.117,4.696,0.037
4,zero,5,aa,115,547.000,0.000,5.313,5.313,4.757,0.036
0,zero,10,00,2,0.000,0.000,5.600,5.600,0.000,0.000
1,zero,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,zero,10,01,51,539.000,0.000,5.549,5.549,10.569,0.038
3,zero,10,11,57,516.000,0.000,5.049,5.049,9.053,0.036
4,zero,10,aa,110,1055.000,0.000,5.291,5.291,9.591,0.036
