,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lasso,ridge,rf,svr,xgb
0,Indy500-2018,1296,225,"+:92,0:34,-:99",4.667,6.007,6.711,4.543,4.543,5.079,4.482,4.862
0,Indy500-2019,1296,250,"+:80,0:50,-:120",4.272,5.425,6.372,4.904,4.932,4.929,4.153,5.141
