,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,predtrack,5,aa,115,0.555,0.409,0.765,0.638,0.767,18.257
0,predtrack,10,00,2,1.000,1.000,1.000,1.000,0.920,4.846
1,predtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predtrack,10,01,51,0.480,0.196,0.650,0.349,0.607,39.000
3,predtrack,10,11,57,0.475,0.281,0.660,0.544,0.687,21.649
4,predtrack,10,aa,110,0.487,0.255,0.661,0.462,0.654,29.388
0,predpit,2,00,27,0.815,0.778,0.937,0.919,0.923,4.410
1,predpit,2,10,11,0.818,0.818,0.982,0.964,0.912,3.005
2,predpit,2,01,49,0.551,0.449,0.765,0.686,0.796,16.012
3,predpit,2,11,31,0.758,0.677,0.890,0.858,0.906,5.855
4,predpit,2,aa,118,0.691,0.619,0.858,0.810,0.865,9.477
0,predpit,5,00,13,0.738,0.615,0.865,0.831,0.826,13.270
1,predpit,5,10,2,1.000,1.000,0.860,0.800,0.916,2.146
2,predpit,5,01,54,0.459,0.278,0.676,0.504,0.688,27.608
3,predpit,5,11,46,0.604,0.478,0.799,0.704,0.821,12.042
4,predpit,5,aa,115,0.558,0.409,0.750,0.626,0.761,19.318
0,predpit,10,00,2,1.000,1.000,1.000,1.000,0.947,1.689
1,predpit,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predpit,10,01,51,0.459,0.235,0.617,0.373,0.584,41.344
3,predpit,10,11,57,0.539,0.404,0.664,0.530,0.708,20.068
4,predpit,10,aa,110,0.510,0.336,0.648,0.465,0.655,29.598
0,curtrack,2,00,27,0.889,0.852,0.985,0.970,0.949,1.562
1,curtrack,2,10,11,0.909,1.000,0.955,0.927,0.903,3.249
2,curtrack,2,01,49,0.531,0.408,0.765,0.690,0.801,15.518
3,curtrack,2,11,31,0.661,0.484,0.884,0.858,0.874,6.832
4,curtrack,2,aa,118,0.682,0.585,0.864,0.820,0.864,8.899
0,curtrack,5,00,13,0.892,0.846,0.982,0.969,0.926,2.808
1,curtrack,5,10,2,1.000,1.000,0.860,0.800,0.826,7.277
2,curtrack,5,01,54,0.456,0.315,0.686,0.500,0.700,26.449
3,curtrack,5,11,46,0.604,0.478,0.790,0.691,0.796,13.166
4,curtrack,5,aa,115,0.574,0.452,0.764,0.635,0.766,18.130
0,curtrack,10,00,2,1.000,1.000,1.000,1.000,0.951,1.489
1,curtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,curtrack,10,01,51,0.482,0.196,0.647,0.341,0.611,38.424
3,curtrack,10,11,57,0.502,0.298,0.637,0.488,0.676,21.846
4,curtrack,10,aa,110,0.502,0.264,0.648,0.429,0.651,29.162
0,zerotrack,2,00,27,0.889,0.852,0.981,0.978,0.946,1.546
1,zerotrack,2,10,11,0.955,0.909,0.955,0.927,0.897,3.458
2,zerotrack,2,01,49,0.531,0.408,0.761,0.678,0.801,15.596
3,zerotrack,2,11,31,0.694,0.613,0.861,0.845,0.863,7.586
4,zerotrack,2,aa,118,0.695,0.610,0.856,0.814,0.859,9.145
0,zerotrack,5,00,13,0.892,0.846,0.985,0.969,0.925,2.878
1,zerotrack,5,10,2,1.000,1.000,0.860,0.800,0.866,3.692
2,zerotrack,5,01,54,0.459,0.315,0.681,0.504,0.700,26.481
3,zerotrack,5,11,46,0.600,0.478,0.803,0.717,0.815,11.971
4,zerotrack,5,aa,115,0.574,0.452,0.768,0.647,0.775,17.612
0,zerotrack,10,00,2,1.000,1.000,1.000,1.000,0.950,1.593
1,zerotrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,zerotrack,10,01,51,0.486,0.196,0.651,0.353,0.612,38.370
3,zerotrack,10,11,57,0.477,0.263,0.667,0.547,0.695,20.596
