,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lr,lsvc,lsvcl2,rf,lrbias,xgb
0,Indy500-2018,1296,225,"+:92,0:34,-:99",0.151,0.284,0.342,0.596,0.631,0.467,0.578,0.600,0.524
0,Indy500-2019,1296,250,"+:80,0:50,-:120",0.200,0.340,0.408,0.520,0.512,0.356,0.476,0.524,0.476
