,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,predtrack,5,aa,115,0.539,0.443,0.770,0.652,0.773,18.417
0,predtrack,10,00,2,1.000,1.000,1.000,1.000,0.936,2.179
1,predtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predtrack,10,01,51,0.455,0.196,0.640,0.345,0.617,39.363
3,predtrack,10,11,57,0.372,0.228,0.658,0.544,0.679,23.448
4,predtrack,10,aa,110,0.422,0.227,0.656,0.460,0.655,30.440
0,predpit,2,00,27,0.852,0.815,0.889,0.867,0.865,13.163
1,predpit,2,10,11,0.682,0.636,0.809,0.800,0.776,18.715
2,predpit,2,01,49,0.561,0.449,0.806,0.739,0.843,12.597
3,predpit,2,11,31,0.645,0.548,0.881,0.839,0.864,9.920
4,predpit,2,aa,118,0.661,0.576,0.845,0.800,0.847,12.594
0,predpit,5,00,13,0.785,0.692,0.772,0.692,0.698,34.156
1,predpit,5,10,2,0.600,0.500,0.840,0.800,0.787,12.315
2,predpit,5,01,54,0.493,0.315,0.690,0.511,0.686,29.497
3,predpit,5,11,46,0.530,0.413,0.741,0.635,0.752,20.073
4,predpit,5,aa,115,0.543,0.400,0.722,0.586,0.715,25.955
0,predpit,10,00,2,1.000,1.000,1.000,1.000,0.973,0.446
1,predpit,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predpit,10,01,51,0.465,0.235,0.576,0.310,0.536,51.019
3,predpit,10,11,57,0.432,0.263,0.628,0.456,0.660,26.403
4,predpit,10,aa,110,0.457,0.264,0.611,0.398,0.608,37.344
0,curtrack,2,00,27,0.907,0.889,0.944,0.919,0.933,5.104
1,curtrack,2,10,11,0.727,0.636,0.882,0.818,0.852,9.723
2,curtrack,2,01,49,0.571,0.449,0.812,0.743,0.850,12.040
3,curtrack,2,11,31,0.565,0.387,0.826,0.768,0.834,11.586
4,curtrack,2,aa,118,0.661,0.551,0.853,0.797,0.865,10.118
0,curtrack,5,00,13,0.877,0.846,0.935,0.923,0.911,7.731
1,curtrack,5,10,2,0.200,0.000,0.380,0.100,0.285,73.008
2,curtrack,5,01,54,0.481,0.296,0.705,0.530,0.716,25.904
3,curtrack,5,11,46,0.396,0.283,0.707,0.600,0.743,19.265
4,curtrack,5,aa,115,0.487,0.348,0.726,0.595,0.741,22.013
0,curtrack,10,00,2,1.000,1.000,1.000,1.000,0.973,0.486
1,curtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,curtrack,10,01,51,0.461,0.176,0.630,0.329,0.614,39.646
3,curtrack,10,11,57,0.289,0.123,0.568,0.414,0.616,30.585
4,curtrack,10,aa,110,0.382,0.164,0.605,0.385,0.622,34.239
0,zerotrack,2,00,27,0.944,0.926,0.970,0.970,0.966,1.803
1,zerotrack,2,10,11,0.864,0.818,0.964,0.945,0.927,2.518
2,zerotrack,2,01,49,0.571,0.449,0.812,0.743,0.852,11.980
3,zerotrack,2,11,31,0.694,0.645,0.884,0.852,0.898,6.693
