runid,MASE,sMAPE,RMSE,NRMSE,wQuantileLoss[0.5],wQuantileLoss[0.9],mean_wQuantileLoss
log-deepAR-laptime-all-indy-f1min-t10-e1000-r1_deepar_t10,7.4161978491959175,0.3727792289023328,19.143348765653847,0.5652729875051205,0.4330002285627094,0.1947486620389855,0.2665147887772249
log-deepAR-laptime-all-indy-f1min-t20-e1000-r1_deepar_t20,3.218573791570858,0.17628587786842514,14.111229678588323,0.41787088451969506,0.2084315885621356,0.1899624871782145,0.16533339528618227
log-deepAR-laptime-all-indy-f1min-t2-e1000-r1_deepar_t2,1.9671420661430412,0.10967272872270184,13.548055409953324,0.4008914569067128,0.1471157586181179,0.10743328540680756,0.11043018996275326
log-deepAR-laptime-all-indy-f1min-t30-e1000-r1_deepar_t30,11.33891849520802,0.5010312576763566,27.1360923766987,0.7996303240796654,0.6371966170050615,0.22124731926796232,0.5380405801676447
log-deepAR-laptime-all-indy-f1min-t5-e1000-r1_deepar_t5,2.6488508980520424,0.1457951911674756,13.460124257060412,0.39881800001057416,0.1885163889555803,0.1379104936900502,0.13749883618521916
log-deepAR-Oracle-laptime-all-indy-f1min-t10-e1000-r1_oracle_t10,1.600432382968401,0.08315359920510534,9.935311704256412,0.29337413206073354,0.10801180456089662,0.10296075907411513,0.084869243332282
log-deepAR-Oracle-laptime-all-indy-f1min-t20-e1000-r1_oracle_t20,1.9875369653876596,0.11251438924193173,9.116293284271453,0.2699575887436452,0.12912014053335644,0.07869401815982717,0.10712575090678406
log-deepAR-Oracle-laptime-all-indy-f1min-t2-e1000-r1_oracle_t2,1.2446851020384238,0.06402835309509619,8.700705265596781,0.2574567570397189,0.08832991612884522,0.07248987213118589,0.06490707513838441
log-deepAR-Oracle-laptime-all-indy-f1min-t30-e1000-r1_oracle_t30,1.5000327559133766,0.07994171649342957,8.414307633915111,0.2479478418193715,0.1024282274993421,0.07173723330845773,0.07763147054242721
log-deepAR-Oracle-laptime-all-indy-f1min-t5-e1000-r1_oracle_t5,1.5407771476647385,0.08334341756075128,9.12991195538686,0.27051557302006823,0.10594703417157668,0.09503961764297457,0.07922167908937783
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t10-e1000-r1_curtrack_t10,2.3494983226408186,0.1292176508179518,14.314414971708159,0.4226821657223841,0.1770650419502809,0.17996056850822587,0.1555993828057939
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t20-e1000-r1_curtrack_t20,3.1156410975612,0.1703009151684496,14.343167499206846,0.4247391776779088,0.21446431469706934,0.19984960779998015,0.19607764345997672
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t2-e1000-r1_curtrack_t2,1.453753323770349,0.07801047442374835,10.024951469629023,0.2966416418053693,0.10677000310274784,0.11758031391304352,0.08650286749275994
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t30-e1000-r1_curtrack_t30,3.4654932324488525,0.1881619532561395,15.3201947577948,0.4514464400061645,0.2379845938643851,0.2024905935266736,0.214912079367728
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t5-e1000-r1_curtrack_t5,1.9090921557903555,0.10694033872784957,11.777478938502748,0.3489619044903326,0.13905812332204465,0.16611482220257756,0.11725058394612795
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t10-e1000-r1_zerotrack_t10,2.536534001075046,0.13989222021400907,15.379053282248075,0.4541192609651478,0.1857884727198432,0.2808921872300706,0.17122502701669173
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t20-e1000-r1_zerotrack_t20,2.6833841305084247,0.14430612368072013,14.757098624657381,0.436996774603335,0.19029018033310535,0.2590188707187175,0.18019710402369335
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t2-e1000-r1_zerotrack_t2,2.0261686239744643,0.10689709649246107,13.01696176147563,0.3851762195497925,0.14541569966352202,0.1713719058298687,0.12012790094988195
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t30-e1000-r1_zerotrack_t30,2.84118376400738,0.15203911849657745,15.405906962054612,0.4539721565580697,0.19967526088750734,0.2773952528001177,0.19187613109116594
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t5-e1000-r1_zerotrack_t5,2.4551226962498083,0.1335573611772381,14.339018599296036,0.424859281435384,0.17319355048250035,0.227017261601826,0.14958749941660776
log-naive-laptime-all-indy-f1min-t10-e1000-r1_naive_t10,2.497633997048892,0.12168759054769886,14.529631812063347,0.42903718060500784,0.17310888485813994,0.18088975056935475,0.17310888485813994
log-naive-laptime-all-indy-f1min-t20-e1000-r1_naive_t20,3.1252762878308307,0.1519033549221408,16.6477024513593,0.4929825611956262,0.2155147857151876,0.2210709501091723,0.2155147857151876
log-naive-laptime-all-indy-f1min-t2-e1000-r1_naive_t2,1.4066037290215112,0.06848051730884068,11.069134614421326,0.32753936768016056,0.1033424954645172,0.10669096911260198,0.1033424954645172
log-naive-laptime-all-indy-f1min-t30-e1000-r1_naive_t30,3.1158815842866363,0.15478669572236542,15.83614831437968,0.4666502543186589,0.2111198115139362,0.249524675460272,0.2111198115139362
log-naive-laptime-all-indy-f1min-t5-e1000-r1_naive_t5,1.918191082289924,0.0948556862645844,13.36719853179076,0.3960646486154608,0.1417581095112477,0.1403102964547835,0.1417581095112477
