runid,MASE,sMAPE,RMSE,NRMSE,wQuantileLoss[0.5],wQuantileLoss[0.9],mean_wQuantileLoss
log-arima-rank-all-indy-f1min-t10-e1000-r1,3.316768755521158,0.1437423328035821,2.0553281393122598,0.2056129228622112,0.09912972587209072,0.0780847225192788,0.07934714442852138
log-arima-rank-all-indy-f1min-t20-e1000-r1,4.471950172091641,0.18414737324423108,2.2841874358377656,0.2278220667423086,0.12666464625499055,0.08829646384231768,0.096750663833173
log-arima-rank-all-indy-f1min-t2-e1000-r1,1.383010996863778,0.0641310391207507,1.0946194501926052,0.10988230746406856,0.042242850098931466,0.043267654749896085,0.03951289773613431
log-arima-rank-all-indy-f1min-t30-e1000-r1,5.592499151643528,0.2299382483309973,2.6683639662891365,0.27158019974551123,0.1584636333534855,0.11235595899691532,0.1198387435353854
log-arima-rank-all-indy-f1min-t5-e1000-r1,2.2463603335587807,0.10500564152207884,1.6324018363146766,0.16448189445597405,0.07101942147605934,0.06275095558648701,0.060043189888387936
log-deepAR-Oracle-rank-all-indy-f1min-t10-e1000-r1,2.729390179871555,0.1082119645114994,1.8517800200730916,0.18525017740110175,0.07907009244997197,0.04714489272592373,0.06610501862342523
log-deepAR-Oracle-rank-all-indy-f1min-t20-e1000-r1,3.6472288246941713,0.13212913978170376,2.053302146785985,0.2047938498337957,0.100267418783294,0.04919846044643224,0.0824569554324389
log-deepAR-Oracle-rank-all-indy-f1min-t2-e1000-r1,0.9699436316098946,0.04377302177935332,1.05390094498696,0.10579481997451527,0.03116613984176759,0.02111376132082611,0.02619143556935283
log-deepAR-Oracle-rank-all-indy-f1min-t30-e1000-r1,4.944266959895502,0.1761589900170004,2.4224981440606888,0.2465565185854573,0.13626676663546813,0.05177153625267223,0.1101858504157298
log-deepAR-Oracle-rank-all-indy-f1min-t5-e1000-r1,1.654724472466445,0.07361586406614799,1.558193407441092,0.15700460381944492,0.054034798927019866,0.034935002212575776,0.046596828241590636
