runid,MASE,sMAPE,RMSE,NRMSE,wQuantileLoss[0.5],wQuantileLoss[0.9],mean_wQuantileLoss
log-deepAR-laptime-all-indy-f1min-t10-e1000-r1_deepar_t10,3.594258389929557,0.2282060416533303,24.935145148825434,0.43441016584728176,0.2593506953685996,0.2597298385470445,0.2035907322490315
log-deepAR-laptime-all-indy-f1min-t20-e1000-r1_deepar_t20,3.0472752550081297,0.22667450667259614,24.73343756952343,0.4421357034969204,0.2524020535521944,0.31241357689334337,0.21356983723712733
log-deepAR-laptime-all-indy-f1min-t2-e1000-r1_deepar_t2,2.1744885356068693,0.14533567419794433,18.64978716654343,0.32666949925439803,0.17500410702004374,0.16865675115650658,0.1413090689307629
log-deepAR-laptime-all-indy-f1min-t5-e1000-r1_deepar_t5,3.139989287428005,0.2006257816577244,22.850331348725877,0.3993192781829753,0.23325419556748714,0.22083462175648466,0.18111772212116134
log-deepAR-Oracle-laptime-all-indy-f1min-t10-e1000-r1_oracle_t10,2.091346860165763,0.12917286652827528,15.045636231137161,0.2621190809773185,0.15390231285286685,0.1343949431743121,0.1135227309161461
log-deepAR-Oracle-laptime-all-indy-f1min-t20-e1000-r1_oracle_t20,1.497713229199546,0.10475138300243636,11.843675295202255,0.21171790997163206,0.12328674220097205,0.09396348483911317,0.0879323209874876
log-deepAR-Oracle-laptime-all-indy-f1min-t2-e1000-r1_oracle_t2,1.5661002770802286,0.0967618200214156,13.754822057408099,0.2409293357453173,0.12596703574047133,0.13653528725487038,0.10131630763800696
log-deepAR-Oracle-laptime-all-indy-f1min-t5-e1000-r1_oracle_t5,1.5444050353423722,0.08684484534138079,11.757137581853154,0.20546098964754472,0.10995474469727304,0.07179415962668341,0.07491355381673337
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t10-e1000-r1_curtrack_t10,3.5028287345583875,0.22286555783917905,24.327078900984024,0.4238166779010781,0.25315277672026604,0.3155621573826056,0.2186374473060212
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t20-e1000-r1_curtrack_t20,3.0390354901563708,0.2345874167449857,23.057712823505103,0.4121803955311183,0.26968895889337924,0.23057214052042194,0.20796196344307386
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t2-e1000-r1_curtrack_t2,1.7862173647358703,0.11427146738972845,15.445975610354306,0.2705515657134047,0.14323647821712002,0.14586385615710498,0.11519438076435318
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t5-e1000-r1_curtrack_t5,2.8022357270768303,0.18063362244110115,21.76294736474548,0.3803167796649399,0.2111982916721709,0.2698070410203417,0.183112214422032
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t10-e1000-r1_zerotrack_t10,3.9486921572049862,0.2529006742826398,28.548403393632718,0.49735891164392404,0.28177939434299043,0.4449535464183212,0.2651323419767217
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t20-e1000-r1_zerotrack_t20,3.2858760424196243,0.23288944213738225,26.77577105496141,0.4786445207537704,0.263308388574625,0.4023922141539584,0.24385556617469495
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t2-e1000-r1_zerotrack_t2,2.6511999725134894,0.1733508885578549,22.238596413671775,0.38953104878361205,0.20578902082861356,0.21892509524087328,0.16413043156480106
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t5-e1000-r1_zerotrack_t5,3.4451735871243017,0.21737866828629665,26.176464302762,0.4574448690147411,0.2479640883788357,0.35889890447439937,0.22414226643708576
log-naive-laptime-all-indy-f1min-t10-e1000-r1_naive_t10,3.807764504901089,0.23305999109927006,27.449298448941676,0.4782107431268743,0.2839138084789533,0.27770457537919885,0.2839138084789533
log-naive-laptime-all-indy-f1min-t20-e1000-r1_naive_t20,4.132272966952393,0.28974816231107403,32.16517383640693,0.5749856534210231,0.3682643284661222,0.2441299995800645,0.3682643284661222
log-naive-laptime-all-indy-f1min-t2-e1000-r1_naive_t2,2.1811217598542023,0.14471445596450766,18.956961698970453,0.3320499655190024,0.1796820303146596,0.1798580048093204,0.17968203031465965
log-naive-laptime-all-indy-f1min-t30-e1000-r1_naive_t30,4.013037779181285,0.2573231198799878,27.8941666337226,0.5019604040909311,0.3135661417272019,0.2773094004788161,0.31356614172720193
log-naive-laptime-all-indy-f1min-t5-e1000-r1_naive_t5,3.417791226355862,0.21395833973789105,26.100003824953475,0.4561086895807511,0.26544273107347394,0.2593890599371744,0.26544273107347394
