,Year,Model,ExpID,laptype,Top1Acc,SignAcc,MAE,50-Risk,90-Risk
0,Indy500-2019,TransformerWFM-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.7553191489357685,0.6043702256173388,1.0797655000888258,0.07885753722501129,0.05727786531813797
1,Indy500-2019,TransformerWFM-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normal,0.9325842696618735,0.8330821401657875,0.2373775433308214,0.023920619680298936,0.019570199294166493
2,Indy500-2019,TransformerWFM-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,pit,0.595959595958994,0.4003361344537815,1.8312605042016807,0.12771514620018,0.0908128083819898
