,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,oracle,2,False,r0.7,0.6050847457627119,0.5220338983050847,0.8183050847457627,0.7491525423728813,0.8282970041003601,12.767934414004067
1,curtrack,2,False,r0.7,0.6305084745762712,0.5322033898305085,0.7969491525423729,0.736271186440678,0.8215862347167772,13.363914015385266
2,zerotrack,2,False,r0.7,0.6508474576271187,0.5864406779661018,0.8355932203389831,0.7789830508474577,0.8409536124430137,10.5883558236403
3,oracle,5,False,r0.7,0.4556521739130435,0.3565217391304348,0.576,0.43130434782608695,0.6324679285021317,32.29551478398933
4,curtrack,5,False,r0.7,0.4295652173913044,0.3391304347826087,0.5923478260869566,0.44521739130434784,0.645439292585034,30.808380520850687
5,zerotrack,5,False,r0.7,0.43478260869565216,0.32173913043478264,0.5947826086956521,0.47304347826086957,0.6427430312583743,29.99933193258974
6,oracle,10,False,r0.7,0.3327272727272727,0.10909090909090909,0.4730909090909091,0.3018181818181818,0.45504264225366436,47.306451074595905
7,curtrack,10,False,r0.7,0.29818181818181816,0.09090909090909091,0.4454545454545455,0.21090909090909088,0.4363475311701328,48.34176087029191
8,zerotrack,10,False,r0.7,0.3054545454545455,0.12727272727272726,0.4698181818181818,0.3054545454545454,0.5019008004019381,41.85831452123866
