,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lasso,ridge,rf,svr,xgb
0,Indy500-2018,969,159,"+:64,0:25,-:70",4.478,6.134,5.981,4.581,4.800,5.758,4.417,5.293
0,Indy500-2019,969,185,"+:60,0:40,-:85",4.362,5.786,6.195,4.864,5.434,5.084,4.318,5.517
