,Year,Model,ExpID,laptype,Top1Acc,SignAcc,MAE,50-Risk,90-Risk
0,Indy500-2019,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.8989361702122879,0.6265766565997513,0.5752353881684136,0.04522054063297789,0.04262734923717738
1,Indy500-2019,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normal,0.9325842696618735,0.8485305199698568,0.19291635267520724,0.019478409798629852,0.017725160888519838
2,Indy500-2019,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,pit,0.8686868686859912,0.42857142857142855,0.9163025210084034,0.06811405229512359,0.06477386628510766
