,runid,trainsize,testsize,testdistribution,lr,lsvc,rf,xgb
0,stage0,153,652,"+:221,0:167,-:264",0.4647239263803681,0.4187116564417178,0.3696319018404908,0.3558282208588957
0,stage1,288,517,"+:186,0:136,-:195",0.4410058027079304,0.3578336557059961,0.41392649903288203,0.4506769825918762
0,stage2,421,384,"+:140,0:112,-:132",0.4453125,0.5130208333333334,0.4479166666666667,0.4270833333333333
0,stage3,547,258,"+:91,0:89,-:78",0.46511627906976744,0.4496124031007752,0.3875968992248062,0.3992248062015504
0,stage4,657,148,"+:48,0:53,-:47",0.5,0.4391891891891892,0.4797297297297297,0.43243243243243246
0,stage5,725,80,"+:26,0:29,-:25",0.55,0.55,0.4625,0.5125
0,stage6,767,38,"+:11,0:13,-:14",0.39473684210526316,0.3684210526315789,0.3684210526315789,0.5263157894736842
0,stage7,789,16,"+:4,0:4,-:8",0.25,0.3125,0.1875,0.4375
