,runid,acc,mae,rmse,r2
0,fulloracle,0.698,3.500,28.878,0.307
1,laponly,0.680,3.599,30.500,0.312
2,notracklap,0.676,3.716,32.176,0.263
3,fullpred,0.586,5.572,65.923,-0.345
4,curtrack,0.680,4.554,46.887,0.329
5,zerotrack,0.640,4.739,48.144,-0.127
6,predtrack,0.671,3.802,34.369,0.161
7,predpit,0.613,4.662,47.707,-0.100
8,deepAR,0.590,6.113,72.203,0.032
9,naive,0.158,4.545,46.419,0.000
