,runid,acc,mae,rmse,r2
0,fulloracle,0.532,3.968,38.226,-0.478
1,laponly,0.552,4.008,38.887,-0.465
2,notracklap,0.577,3.879,36.363,-0.367
3,fullpred,0.540,3.948,38.649,-0.810
4,curtrack,0.540,3.931,38.810,-0.471
5,zerotrack,0.536,4.097,39.371,-0.434
6,predtrack,0.560,3.867,38.069,-0.366
7,predpit,0.544,3.887,37.621,-0.809
8,deepAR,0.581,3.843,36.448,-0.689
9,naive,0.210,4.040,41.460,0.000
