,runid,acc,mae,rmse,r2
0,fulloracle,0.658,3.977,33.995,0.324
1,laponly,0.622,4.221,36.914,0.303
2,notracklap,0.667,4.086,35.266,0.323
3,fullpred,0.550,6.514,85.658,-0.023
4,curtrack,0.505,9.117,145.144,0.002
5,zerotrack,0.559,5.712,66.225,-0.048
6,predtrack,0.559,7.212,100.995,0.091
7,predpit,0.599,4.941,49.167,-0.011
8,deepAR,0.464,9.000,124.081,-0.040
9,naive,0.158,4.545,46.419,0.000
