,runid,acc,mae,rmse,r2
0,fulloracle,0.645,3.153,24.306,0.277
1,laponly,0.657,3.089,24.218,0.338
2,notracklap,0.645,3.194,25.194,0.298
3,fullpred,0.609,3.677,32.653,0.131
4,curtrack,0.577,4.573,49.815,0.025
5,zerotrack,0.581,3.815,33.000,0.124
6,predtrack,0.601,3.496,29.270,0.168
7,predpit,0.605,3.331,26.823,0.261
8,deepAR,0.556,4.536,44.198,-0.086
9,naive,0.210,4.040,41.460,0.000
