,runid,acc,mae,rmse,r2
0,fulloracle,0.573,3.806,36.210,-0.594
1,laponly,0.548,3.903,38.016,-0.609
2,notracklap,0.573,3.815,36.984,-0.543
3,fullpred,0.508,4.069,39.335,-0.881
4,curtrack,0.577,3.948,38.649,-0.531
5,zerotrack,0.577,3.911,38.016,-0.488
6,predtrack,0.548,3.746,34.585,-0.469
7,predpit,0.516,4.101,39.504,-0.834
8,deepAR,0.560,4.069,39.069,-0.714
9,naive,0.210,4.040,41.460,0.000
