,runid,acc,mae,rmse,r2
0,fulloracle,0.589,3.839,35.210,-0.454
1,laponly,0.585,3.875,36.746,-0.556
2,notracklap,0.605,3.847,35.815,-0.351
3,fullpred,0.520,4.125,41.052,-0.794
4,curtrack,0.581,3.952,37.444,-0.524
5,zerotrack,0.565,3.923,38.109,-0.490
6,predtrack,0.609,3.758,35.250,-0.475
7,predpit,0.516,4.181,40.488,-0.794
8,deepAR,0.577,4.004,38.367,-0.738
9,naive,0.210,4.040,41.460,0.000
