,runid,acc,mae,rmse,r2
0,fulloracle,0.649,3.986,38.518,-0.829
1,laponly,0.635,3.950,37.770,-0.774
2,notracklap,0.662,3.932,38.032,-0.756
3,fullpred,0.649,3.914,37.005,-0.772
4,curtrack,0.653,4.032,38.968,-0.898
5,zerotrack,0.662,3.964,38.649,-0.815
6,predtrack,0.658,3.946,37.793,-0.691
7,predpit,0.649,3.995,38.077,-0.728
8,deepAR,0.640,4.081,40.667,-0.773
9,naive,0.158,4.545,46.419,0.000
