,runid,acc,mae,rmse,r2
0,fulloracle,0.694,3.144,24.306,0.462
1,laponly,0.680,3.230,25.437,0.446
2,notracklap,0.694,3.279,25.784,0.430
3,fullpred,0.622,4.820,49.568,-0.129
4,curtrack,0.694,3.833,34.095,0.432
5,zerotrack,0.671,3.815,35.473,0.159
6,predtrack,0.676,3.410,27.860,0.288
7,predpit,0.689,3.973,35.676,0.065
8,deepAR,0.554,5.986,71.770,-0.438
9,naive,0.158,4.545,46.419,0.000
