,runid,acc,mae,rmse,r2
0,fulloracle,0.617,4.270,42.757,-0.623
1,laponly,0.640,4.140,40.824,-0.597
2,notracklap,0.617,4.180,40.856,-0.632
3,fullpred,0.590,4.257,42.248,-0.635
4,curtrack,0.622,4.243,42.982,-0.704
5,zerotrack,0.622,4.284,43.275,-0.683
6,predtrack,0.622,4.189,41.640,-0.649
7,predpit,0.626,4.279,41.883,-0.656
8,deepAR,0.595,4.315,43.405,-0.692
9,naive,0.158,4.545,46.419,0.000
