,runid,acc,mae,rmse,r2
0,fulloracle,0.556,5.214,54.302,0.244
1,laponly,0.508,6.895,85.806,0.148
2,notracklap,0.516,6.665,80.415,0.174
3,fullpred,0.524,5.391,57.633,0.149
4,curtrack,0.520,5.887,68.290,0.092
5,zerotrack,0.532,5.069,49.923,0.195
6,predtrack,0.548,5.750,65.718,0.150
7,predpit,0.492,7.060,86.633,0.120
8,deepAR,0.460,9.528,143.335,0.060
9,naive,0.210,4.040,41.460,0.000
