,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
3,fullpred,10,11,63,0.205,0.048,0.597,0.552,0.688,24.133
4,fullpred,10,aa,170,0.408,0.247,0.709,0.626,0.771,19.372
0,predtrack,2,00,98,0.770,0.735,0.965,0.959,0.975,0.918
1,predtrack,2,10,3,0.667,0.667,0.900,0.933,0.904,3.868
2,predtrack,2,01,48,0.646,0.583,0.823,0.742,0.847,12.801
3,predtrack,2,11,39,0.628,0.590,0.764,0.718,0.836,9.709
4,predtrack,2,aa,188,0.707,0.665,0.886,0.853,0.912,5.823
0,predtrack,5,00,75,0.640,0.560,0.934,0.912,0.963,1.233
1,predtrack,5,10,3,0.467,0.667,0.880,0.867,0.877,4.967
2,predtrack,5,01,59,0.573,0.356,0.790,0.668,0.838,13.914
3,predtrack,5,11,48,0.446,0.229,0.691,0.621,0.795,12.986
4,predtrack,5,aa,185,0.565,0.411,0.824,0.758,0.879,8.387
0,predtrack,10,00,35,0.754,0.829,0.938,0.886,0.948,1.513
1,predtrack,10,10,3,0.367,0.333,0.880,0.867,0.861,5.990
2,predtrack,10,01,69,0.575,0.406,0.775,0.681,0.807,17.937
3,predtrack,10,11,63,0.363,0.238,0.662,0.641,0.751,16.797
4,predtrack,10,aa,170,0.530,0.429,0.769,0.712,0.816,13.922
0,predpit,2,00,98,0.750,0.673,0.965,0.959,0.976,0.841
1,predpit,2,10,3,0.833,0.667,0.967,0.933,0.948,2.303
2,predpit,2,01,48,0.469,0.333,0.756,0.671,0.817,16.849
3,predpit,2,11,39,0.718,0.641,0.731,0.662,0.851,10.031
4,predpit,2,aa,188,0.673,0.580,0.863,0.823,0.909,6.858
0,predpit,5,00,75,0.659,0.573,0.940,0.917,0.964,1.122
1,predpit,5,10,3,0.667,0.333,0.893,0.867,0.905,4.206
2,predpit,5,01,59,0.420,0.153,0.723,0.586,0.778,21.983
3,predpit,5,11,48,0.492,0.292,0.618,0.492,0.759,18.446
4,predpit,5,aa,185,0.539,0.362,0.787,0.701,0.850,12.320
0,predpit,10,00,35,0.691,0.657,0.920,0.874,0.937,1.947
1,predpit,10,10,3,0.500,0.333,0.887,0.867,0.867,5.856
2,predpit,10,01,69,0.449,0.188,0.699,0.580,0.757,24.216
3,predpit,10,11,63,0.287,0.095,0.612,0.578,0.701,23.086
4,predpit,10,aa,170,0.440,0.253,0.716,0.645,0.776,18.889
0,curtrack,2,00,98,0.776,0.724,0.968,0.957,0.976,0.826
1,curtrack,2,10,3,0.833,0.667,0.933,0.933,0.919,3.260
