,runid,acc,mae,rmse,r2
0,fulloracle,0.565,7.944,102.500,0.231
1,laponly,0.512,9.460,137.653,0.139
2,notracklap,0.516,9.427,142.508,0.135
3,fullpred,0.488,7.238,92.399,0.146
4,curtrack,0.488,7.673,100.835,0.118
5,zerotrack,0.524,6.948,87.577,0.177
6,predtrack,0.516,7.681,100.181,0.168
7,predpit,0.484,8.706,126.956,0.115
8,deepAR,0.468,8.968,135.871,0.069
9,naive,0.210,4.040,41.460,0.000
