,runid,acc,mae,rmse,r2
0,fulloracle,0.621,3.609,35.810,-0.357
1,laponly,0.649,3.617,35.956,-0.308
2,notracklap,0.649,3.556,34.903,-0.300
3,fullpred,0.609,3.798,37.274,-0.398
4,curtrack,0.621,3.685,37.556,-0.339
5,zerotrack,0.617,3.774,37.774,-0.297
6,predtrack,0.633,3.637,35.097,-0.276
7,predpit,0.597,3.766,37.153,-0.449
8,deepAR,0.556,4.109,41.044,-0.645
9,naive,0.210,4.040,41.460,0.000
