,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,predtrack,5,aa,185,0.744,0.622,0.850,0.762,0.840,11.451
0,predtrack,10,00,9,0.844,0.556,0.998,1.000,0.903,4.242
1,predtrack,10,10,6,0.717,0.667,1.000,1.000,0.929,4.434
2,predtrack,10,01,67,0.719,0.582,0.754,0.561,0.719,23.160
3,predtrack,10,11,88,0.701,0.659,0.811,0.730,0.822,10.020
4,predtrack,10,aa,170,0.716,0.624,0.805,0.687,0.790,14.696
0,predpit,2,00,64,0.906,0.891,0.986,0.981,0.973,0.822
1,predpit,2,10,24,0.917,0.875,0.971,0.967,0.959,1.750
2,predpit,2,01,57,0.544,0.421,0.758,0.688,0.768,19.719
3,predpit,2,11,43,0.779,0.698,0.926,0.898,0.912,5.816
4,predpit,2,aa,188,0.769,0.702,0.901,0.871,0.895,7.812
0,predpit,5,00,40,0.970,0.975,0.991,0.970,0.960,1.685
1,predpit,5,10,13,0.677,0.692,0.929,0.908,0.946,2.587
2,predpit,5,01,65,0.498,0.385,0.653,0.474,0.661,31.104
3,predpit,5,11,67,0.651,0.552,0.833,0.743,0.837,11.701
4,predpit,5,aa,185,0.668,0.595,0.811,0.709,0.809,15.712
0,predpit,10,00,9,0.700,0.333,0.984,0.978,0.879,5.556
1,predpit,10,10,6,0.717,0.667,0.993,1.000,0.922,5.145
2,predpit,10,01,67,0.513,0.343,0.638,0.412,0.604,39.942
3,predpit,10,11,88,0.557,0.511,0.736,0.618,0.755,17.684
4,predpit,10,aa,170,0.553,0.441,0.720,0.569,0.708,25.372
0,curtrack,2,00,64,0.914,0.906,0.989,0.984,0.974,0.789
1,curtrack,2,10,24,0.896,0.833,0.971,0.967,0.960,1.650
2,curtrack,2,01,57,0.544,0.404,0.765,0.688,0.774,19.144
3,curtrack,2,11,43,0.767,0.698,0.923,0.893,0.913,5.795
4,curtrack,2,aa,188,0.766,0.697,0.904,0.871,0.898,7.609
0,curtrack,5,00,40,0.975,0.975,0.992,0.980,0.963,1.470
1,curtrack,5,10,13,0.662,0.615,0.938,0.923,0.952,2.015
2,curtrack,5,01,65,0.508,0.308,0.652,0.455,0.660,31.209
