,runid,acc,mae,rmse,r2
0,fulloracle,0.633,3.286,26.512,0.178
1,laponly,0.609,4.105,40.935,0.220
2,notracklap,0.593,4.149,40.012,0.255
3,fullpred,0.641,3.512,30.456,0.039
4,curtrack,0.569,4.286,44.230,-0.102
5,zerotrack,0.593,3.798,33.879,0.054
6,predtrack,0.621,3.315,27.210,0.234
7,predpit,0.617,4.149,42.069,0.149
8,deepAR,0.536,5.000,50.048,-0.165
9,naive,0.210,4.040,41.460,0.000
