,runid,acc,mae,rmse,r2
0,fulloracle,0.649,3.690,34.907,-0.314
1,laponly,0.629,3.597,33.790,-0.300
2,notracklap,0.645,3.673,35.593,-0.278
3,fullpred,0.581,3.863,38.089,-0.493
4,curtrack,0.613,3.726,34.919,-0.379
5,zerotrack,0.625,3.847,39.145,-0.339
6,predtrack,0.629,3.742,35.677,-0.315
7,predpit,0.589,3.823,37.984,-0.530
8,deepAR,0.560,3.960,38.806,-0.628
9,naive,0.210,4.040,41.460,0.000
