,runid,acc,mae,rmse,r2
0,fulloracle,0.707,3.775,36.315,-0.077
1,laponly,0.703,3.775,35.721,-0.146
2,notracklap,0.671,3.770,34.149,-0.215
3,fullpred,0.626,4.171,42.532,-0.962
4,curtrack,0.680,3.923,35.896,-0.165
5,zerotrack,0.671,3.937,38.622,-0.145
6,predtrack,0.680,3.761,34.329,-0.135
7,predpit,0.649,4.230,43.869,-0.913
8,deepAR,0.640,4.140,41.266,-0.722
9,naive,0.158,4.545,46.419,0.000
