,runid,acc,mae,rmse,r2
0,fulloracle,0.689,3.865,36.586,0.025
1,laponly,0.698,3.802,35.063,-0.016
2,notracklap,0.680,3.851,35.482,-0.044
3,fullpred,0.626,4.144,41.505,-0.729
4,curtrack,0.694,3.806,34.968,-0.004
5,zerotrack,0.698,3.842,37.743,-0.068
6,predtrack,0.676,3.838,35.595,-0.029
7,predpit,0.635,4.171,41.748,-0.706
8,deepAR,0.635,4.072,39.396,-0.704
9,naive,0.158,4.545,46.419,0.000
