,runid,acc,mae,rmse,r2
0,fulloracle,0.621,3.234,24.774,0.246
1,laponly,0.601,3.786,32.883,0.295
2,notracklap,0.633,3.871,34.468,0.272
3,fullpred,0.601,3.427,28.823,0.181
4,curtrack,0.573,5.218,61.919,0.017
5,zerotrack,0.565,3.702,31.419,0.107
6,predtrack,0.601,3.242,24.863,0.261
7,predpit,0.589,3.815,33.581,0.223
8,deepAR,0.532,4.387,40.210,-0.129
9,naive,0.210,4.040,41.460,0.000
