,runid,acc,mae,rmse,r2
0,fulloracle,0.721,3.360,27.640,0.312
1,laponly,0.694,3.532,31.036,0.259
2,notracklap,0.721,3.378,28.604,0.284
3,fullpred,0.577,5.532,70.324,-0.790
4,curtrack,0.680,3.743,35.185,0.385
5,zerotrack,0.667,3.856,37.378,0.055
6,predtrack,0.703,3.446,28.725,0.236
7,predpit,0.617,4.752,55.995,-0.487
8,deepAR,0.577,5.878,70.113,-0.063
9,naive,0.158,4.545,46.419,0.000
