,runid,acc,mae,rmse,r2
0,fulloracle,0.589,7.581,94.169,0.239
1,laponly,0.504,9.226,133.750,0.132
2,notracklap,0.532,9.310,139.859,0.131
3,fullpred,0.480,7.637,100.669,0.126
4,curtrack,0.484,8.097,109.048,0.124
5,zerotrack,0.528,7.226,94.000,0.189
6,predtrack,0.520,7.758,102.540,0.168
7,predpit,0.492,8.431,119.883,0.098
8,deepAR,0.492,8.589,129.339,0.063
9,naive,0.210,4.040,41.460,0.000
