,runid,acc,mae,rmse,r2
0,fulloracle,0.716,3.248,26.302,0.423
1,laponly,0.739,3.135,26.721,0.399
2,notracklap,0.730,3.185,28.113,0.398
3,fullpred,0.635,4.495,51.234,-0.235
4,curtrack,0.671,4.221,41.086,0.418
5,zerotrack,0.689,3.842,37.068,0.175
6,predtrack,0.707,3.216,27.802,0.364
7,predpit,0.680,4.311,47.275,-0.089
8,deepAR,0.581,5.932,72.734,-0.068
9,naive,0.158,4.545,46.419,0.000
