,runid,acc,mae,rmse,r2
0,fulloracle,0.544,4.016,38.000,-0.675
1,laponly,0.560,3.988,38.117,-0.666
2,notracklap,0.548,3.976,38.290,-0.620
3,fullpred,0.552,4.032,39.395,-0.716
4,curtrack,0.573,3.944,39.185,-0.683
5,zerotrack,0.536,4.097,39.645,-0.709
6,predtrack,0.556,3.996,38.230,-0.615
7,predpit,0.536,4.008,38.379,-0.694
8,deepAR,0.581,4.044,38.617,-0.637
9,naive,0.210,4.040,41.460,0.000
