,runid,acc,mae,rmse,r2
0,fulloracle,0.661,3.117,23.923,0.278
1,laponly,0.601,3.972,38.310,0.235
2,notracklap,0.617,3.940,37.327,0.257
3,fullpred,0.548,3.927,36.669,-0.159
4,curtrack,0.629,5.581,72.806,0.050
5,zerotrack,0.573,3.565,30.540,0.122
6,predtrack,0.605,3.210,25.121,0.245
7,predpit,0.585,4.077,38.173,0.049
8,deepAR,0.560,5.617,69.940,-0.189
9,naive,0.210,4.040,41.460,0.000
