,runid,acc,mae,rmse,r2
0,fulloracle,0.649,3.000,21.629,0.295
1,laponly,0.649,3.004,21.601,0.389
2,notracklap,0.661,2.984,23.065,0.338
3,fullpred,0.504,4.339,45.645,-0.418
4,curtrack,0.609,5.177,64.911,0.037
5,zerotrack,0.556,3.540,31.113,0.175
6,predtrack,0.552,3.387,27.992,0.219
7,predpit,0.552,3.831,34.669,-0.189
8,deepAR,0.524,5.363,60.597,-0.135
9,naive,0.210,4.040,41.460,0.000
