,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,predtrack,5,aa,185,0.622,0.492,0.814,0.721,0.808,14.636
0,predtrack,10,00,9,0.411,0.222,1.000,1.000,0.878,5.785
1,predtrack,10,10,6,0.717,0.667,0.957,0.900,0.888,7.324
2,predtrack,10,01,67,0.476,0.254,0.660,0.400,0.629,35.810
3,predtrack,10,11,88,0.568,0.420,0.717,0.605,0.734,18.097
4,predtrack,10,aa,170,0.529,0.353,0.718,0.555,0.705,24.046
0,predpit,2,00,64,0.836,0.781,0.963,0.941,0.947,2.318
1,predpit,2,10,24,0.896,0.875,0.983,0.975,0.940,2.252
2,predpit,2,01,57,0.561,0.456,0.735,0.649,0.772,18.542
3,predpit,2,11,43,0.709,0.605,0.893,0.856,0.907,5.625
4,predpit,2,aa,188,0.731,0.654,0.880,0.837,0.884,7.985
0,predpit,5,00,40,0.860,0.750,0.959,0.950,0.914,4.954
1,predpit,5,10,13,0.692,0.769,0.920,0.892,0.922,3.546
2,predpit,5,01,65,0.452,0.308,0.666,0.508,0.677,28.779
3,predpit,5,11,67,0.642,0.478,0.820,0.725,0.844,10.235
4,predpit,5,aa,185,0.626,0.497,0.803,0.709,0.806,15.139
0,predpit,10,00,9,0.544,0.333,0.922,0.800,0.757,18.812
1,predpit,10,10,6,0.717,0.667,1.000,1.000,0.919,4.603
2,predpit,10,01,67,0.494,0.328,0.643,0.427,0.606,37.828
3,predpit,10,11,88,0.559,0.409,0.732,0.620,0.754,16.499
4,predpit,10,aa,170,0.538,0.382,0.716,0.567,0.702,24.608
0,curtrack,2,00,64,0.875,0.859,0.989,0.981,0.961,1.124
1,curtrack,2,10,24,0.896,0.917,0.963,0.942,0.928,2.993
2,curtrack,2,01,57,0.535,0.439,0.742,0.656,0.778,17.985
3,curtrack,2,11,43,0.651,0.535,0.888,0.856,0.869,7.233
4,curtrack,2,aa,188,0.723,0.665,0.888,0.849,0.880,7.872
0,curtrack,5,00,40,0.895,0.850,0.996,0.990,0.946,1.872
1,curtrack,5,10,13,0.754,0.692,0.932,0.908,0.915,4.033
2,curtrack,5,01,65,0.449,0.308,0.671,0.511,0.692,27.297
3,curtrack,5,11,67,0.630,0.507,0.809,0.704,0.811,11.865
4,curtrack,5,aa,185,0.632,0.524,0.810,0.712,0.806,14.576
0,curtrack,10,00,9,0.389,0.222,1.000,1.000,0.886,4.868
1,curtrack,10,10,6,0.717,0.667,0.977,1.000,0.907,6.255
2,curtrack,10,01,67,0.481,0.254,0.659,0.394,0.635,34.728
3,curtrack,10,11,88,0.562,0.375,0.698,0.559,0.720,18.898
4,curtrack,10,aa,170,0.526,0.329,0.708,0.533,0.702,23.948
0,zerotrack,2,00,64,0.867,0.859,0.986,0.981,0.961,1.117
1,zerotrack,2,10,24,0.917,0.875,0.963,0.958,0.930,2.603
2,zerotrack,2,01,57,0.526,0.421,0.740,0.653,0.778,18.066
3,zerotrack,2,11,43,0.744,0.674,0.865,0.860,0.865,7.342
4,zerotrack,2,aa,188,0.742,0.686,0.881,0.851,0.879,7.869
0,zerotrack,5,00,40,0.890,0.825,0.996,0.990,0.946,1.843
1,zerotrack,5,10,13,0.677,0.615,0.938,0.923,0.924,2.719
