,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
3,fullpred,10,11,46,0.259,0.043,0.561,0.426,0.685,25.626
4,fullpred,10,aa,110,0.382,0.127,0.658,0.500,0.758,19.093
0,predtrack,2,00,57,0.711,0.632,0.967,0.958,0.968,1.376
1,predtrack,2,10,2,0.250,0.500,0.900,0.900,0.860,4.696
2,predtrack,2,01,29,0.690,0.586,0.800,0.731,0.885,9.407
3,predtrack,2,11,30,0.500,0.467,0.750,0.693,0.821,11.641
4,predtrack,2,aa,118,0.644,0.576,0.869,0.834,0.908,6.016
0,predtrack,5,00,41,0.483,0.220,0.896,0.844,0.922,3.283
1,predtrack,5,10,2,0.000,0.000,0.840,0.900,0.782,9.753
2,predtrack,5,01,36,0.550,0.250,0.733,0.556,0.822,15.588
3,predtrack,5,11,36,0.317,0.139,0.602,0.417,0.732,20.990
4,predtrack,5,aa,115,0.443,0.200,0.752,0.621,0.829,12.790
0,predtrack,10,00,21,0.486,0.381,0.802,0.676,0.840,8.541
1,predtrack,10,10,2,0.050,0.000,0.800,0.800,0.799,8.531
2,predtrack,10,01,41,0.456,0.146,0.676,0.483,0.780,19.317
3,predtrack,10,11,46,0.287,0.022,0.557,0.422,0.687,25.395
4,predtrack,10,aa,110,0.384,0.136,0.652,0.500,0.753,19.605
0,predpit,2,00,57,0.772,0.702,0.954,0.951,0.963,2.293
1,predpit,2,10,2,0.500,0.000,0.700,0.500,0.746,17.337
2,predpit,2,01,29,0.655,0.517,0.790,0.710,0.881,10.039
3,predpit,2,11,30,0.617,0.533,0.737,0.660,0.844,10.968
4,predpit,2,aa,118,0.699,0.602,0.854,0.810,0.909,6.657
0,predpit,5,00,41,0.507,0.244,0.885,0.829,0.916,4.462
1,predpit,5,10,2,0.100,0.000,0.520,0.400,0.668,24.791
2,predpit,5,01,36,0.528,0.250,0.734,0.567,0.826,15.238
3,predpit,5,11,36,0.389,0.167,0.574,0.383,0.738,20.926
4,predpit,5,aa,115,0.470,0.217,0.734,0.600,0.828,13.343
0,predpit,10,00,21,0.433,0.286,0.727,0.571,0.762,18.395
1,predpit,10,10,2,0.100,0.000,0.210,0.200,0.609,33.386
2,predpit,10,01,41,0.449,0.122,0.675,0.473,0.783,19.149
3,predpit,10,11,46,0.267,0.022,0.518,0.374,0.673,27.097
4,predpit,10,aa,110,0.364,0.109,0.611,0.445,0.730,22.588
0,curtrack,2,00,57,0.737,0.667,0.954,0.937,0.961,2.641
1,curtrack,2,10,2,0.250,0.000,0.700,0.700,0.845,5.926
2,curtrack,2,01,29,0.672,0.552,0.803,0.731,0.898,8.423
3,curtrack,2,11,30,0.533,0.467,0.667,0.600,0.804,13.719
4,curtrack,2,aa,118,0.661,0.576,0.840,0.797,0.903,6.934
0,curtrack,5,00,41,0.517,0.268,0.871,0.829,0.891,8.670
1,curtrack,5,10,2,0.100,0.000,0.600,0.300,0.597,35.316
2,curtrack,5,01,36,0.539,0.222,0.751,0.578,0.836,14.053
3,curtrack,5,11,36,0.350,0.139,0.549,0.356,0.710,22.431
4,curtrack,5,aa,115,0.464,0.209,0.728,0.593,0.812,15.126
0,curtrack,10,00,21,0.490,0.429,0.770,0.629,0.787,18.956
1,curtrack,10,10,2,0.100,0.000,0.280,0.000,0.372,76.993
2,curtrack,10,01,41,0.407,0.098,0.676,0.473,0.792,17.662
3,curtrack,10,11,46,0.293,0.022,0.492,0.361,0.652,29.174
4,curtrack,10,aa,110,0.370,0.127,0.610,0.447,0.725,23.802
0,zerotrack,2,00,57,0.719,0.684,0.958,0.954,0.969,1.301
1,zerotrack,2,10,2,0.250,0.500,0.900,0.900,0.837,6.444
2,zerotrack,2,01,29,0.638,0.517,0.810,0.745,0.898,8.371
3,zerotrack,2,11,30,0.483,0.433,0.747,0.693,0.827,11.635
4,zerotrack,2,aa,118,0.631,0.576,0.867,0.836,0.914,5.753
0,zerotrack,5,00,41,0.507,0.244,0.897,0.849,0.924,3.133
1,zerotrack,5,10,2,0.000,0.000,0.860,0.900,0.802,8.590
2,zerotrack,5,01,36,0.522,0.250,0.750,0.583,0.836,14.066
3,zerotrack,5,11,36,0.333,0.139,0.613,0.422,0.754,19.093
4,zerotrack,5,aa,115,0.449,0.209,0.761,0.633,0.841,11.646
0,zerotrack,10,00,21,0.538,0.429,0.841,0.762,0.870,5.130
1,zerotrack,10,10,2,0.050,0.000,0.810,0.800,0.800,9.005
2,zerotrack,10,01,41,0.451,0.122,0.672,0.463,0.793,17.590
3,zerotrack,10,11,46,0.289,0.043,0.564,0.426,0.700,23.875
4,zerotrack,10,aa,110,0.393,0.145,0.662,0.511,0.769,17.684
0,deepAR,2,00,57,0.404,0.281,0.823,0.751,0.887,7.099
1,deepAR,2,10,2,0.000,0.000,0.550,0.500,0.666,27.651
2,deepAR,2,01,29,0.414,0.241,0.731,0.628,0.830,12.982
3,deepAR,2,11,30,0.417,0.400,0.617,0.547,0.748,18.560
4,deepAR,2,aa,118,0.403,0.297,0.743,0.664,0.834,11.807
0,deepAR,5,00,41,0.244,0.098,0.734,0.610,0.809,13.880
1,deepAR,5,10,2,0.200,0.000,0.520,0.300,0.628,27.190
2,deepAR,5,01,36,0.289,0.111,0.634,0.433,0.753,21.779
3,deepAR,5,11,36,0.250,0.056,0.500,0.317,0.633,31.455
4,deepAR,5,aa,115,0.259,0.087,0.626,0.457,0.733,22.086
0,deepAR,10,00,21,0.290,0.095,0.723,0.676,0.747,20.504
1,deepAR,10,10,2,0.050,0.000,0.460,0.400,0.634,23.327
2,deepAR,10,01,41,0.273,0.073,0.604,0.366,0.694,28.495
3,deepAR,10,11,46,0.167,0.000,0.416,0.274,0.567,39.992
4,deepAR,10,aa,110,0.228,0.045,0.545,0.387,0.650,31.683
0,naive,2,00,57,0.851,0.807,0.925,0.909,0.938,5.233
1,naive,2,10,2,0.250,0.000,0.750,0.600,0.829,9.201
2,naive,2,01,29,0.621,0.483,0.793,0.724,0.873,10.168
3,naive,2,11,30,0.483,0.433,0.683,0.613,0.763,18.465
4,naive,2,aa,118,0.691,0.619,0.828,0.783,0.876,9.877
0,naive,5,00,41,0.673,0.463,0.835,0.776,0.849,15.471
1,naive,5,10,2,0.100,0.000,0.520,0.100,0.574,37.990
2,naive,5,01,36,0.528,0.250,0.742,0.583,0.812,16.970
3,naive,5,11,36,0.339,0.139,0.530,0.306,0.640,31.209
4,naive,5,aa,115,0.513,0.287,0.705,0.557,0.767,21.259
0,naive,10,00,21,0.414,0.143,0.674,0.571,0.635,39.602
1,naive,10,10,2,0.050,0.000,0.260,0.000,0.310,81.552
2,naive,10,01,41,0.439,0.171,0.663,0.468,0.754,22.537
3,naive,10,11,46,0.241,0.043,0.460,0.300,0.579,38.066
4,naive,10,aa,110,0.345,0.109,0.573,0.409,0.650,33.362
0,zero,2,00,57,0.921,0.912,0.984,0.979,0.989,0.333
1,zero,2,10,2,0.750,0.500,1.000,1.000,0.962,0.936
2,zero,2,01,29,0.638,0.517,0.800,0.738,0.887,9.653
