,runid,acc,mae,rmse,r2
0,fulloracle,0.649,4.095,34.131,0.347
1,laponly,0.667,4.036,35.577,0.358
2,notracklap,0.662,3.802,32.694,0.265
3,fullpred,0.554,6.581,88.626,0.100
4,curtrack,0.514,8.613,136.117,0.054
5,zerotrack,0.572,4.761,51.068,0.092
6,predtrack,0.577,6.185,81.230,0.113
7,predpit,0.644,4.360,41.775,0.185
8,deepAR,0.450,9.937,148.766,-0.003
9,naive,0.158,4.545,46.419,0.000
