,runid,acc,mae,rmse,r2
0,fulloracle,0.669,3.367,27.786,0.231
1,laponly,0.673,3.383,28.633,0.331
2,notracklap,0.653,3.427,28.153,0.343
3,fullpred,0.629,3.899,35.996,0.041
4,curtrack,0.621,5.198,62.286,0.040
5,zerotrack,0.581,3.790,33.306,0.110
6,predtrack,0.613,3.544,29.899,0.201
7,predpit,0.625,3.815,33.395,0.155
8,deepAR,0.528,5.706,68.286,-0.391
9,naive,0.210,4.040,41.460,0.000
