,runid,acc,mae,rmse,r2
0,fulloracle,0.631,3.847,33.243,0.257
1,laponly,0.635,3.937,33.883,0.235
2,notracklap,0.622,3.995,35.608,0.182
3,fullpred,0.631,4.383,41.473,0.054
4,curtrack,0.635,4.450,41.297,0.278
5,zerotrack,0.626,4.685,46.874,0.030
6,predtrack,0.626,4.270,40.658,0.083
7,predpit,0.635,3.982,34.919,0.202
8,deepAR,0.595,5.432,59.180,-0.051
9,naive,0.158,4.545,46.419,0.000
