,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
3,fullpred,10,11,63,0.233,0.095,0.521,0.429,0.639,32.875
4,fullpred,10,aa,170,0.392,0.194,0.666,0.551,0.743,23.952
0,predtrack,2,00,98,0.872,0.847,0.957,0.939,0.973,1.508
1,predtrack,2,10,3,0.500,0.333,0.900,0.867,0.865,6.164
2,predtrack,2,01,48,0.917,0.875,0.958,0.946,0.954,2.165
3,predtrack,2,11,39,0.692,0.641,0.844,0.805,0.890,6.166
4,predtrack,2,aa,188,0.840,0.803,0.933,0.912,0.949,2.717
0,predtrack,5,00,75,0.821,0.773,0.913,0.885,0.946,3.331
1,predtrack,5,10,3,0.467,0.667,0.853,0.867,0.815,9.877
2,predtrack,5,01,59,0.858,0.763,0.946,0.915,0.943,2.811
3,predtrack,5,11,48,0.642,0.500,0.797,0.738,0.842,10.203
4,predtrack,5,aa,185,0.781,0.697,0.893,0.856,0.916,5.054
0,predtrack,10,00,35,0.677,0.629,0.837,0.794,0.893,6.491
1,predtrack,10,10,3,0.500,0.333,0.640,0.600,0.763,14.891
2,predtrack,10,01,69,0.796,0.696,0.937,0.896,0.931,3.575
3,predtrack,10,11,63,0.565,0.429,0.796,0.717,0.825,11.355
4,predtrack,10,aa,170,0.681,0.576,0.859,0.804,0.881,7.258
0,predpit,2,00,98,0.827,0.796,0.917,0.896,0.944,4.453
1,predpit,2,10,3,0.167,0.000,0.300,0.200,0.609,35.832
2,predpit,2,01,48,0.521,0.333,0.796,0.713,0.854,13.934
3,predpit,2,11,39,0.526,0.436,0.690,0.610,0.828,12.734
4,predpit,2,aa,188,0.676,0.590,0.829,0.779,0.892,9.092
0,predpit,5,00,75,0.789,0.747,0.868,0.840,0.914,7.053
1,predpit,5,10,3,0.067,0.000,0.187,0.133,0.524,43.476
2,predpit,5,01,59,0.437,0.169,0.738,0.583,0.790,22.063
3,predpit,5,11,48,0.342,0.104,0.588,0.442,0.730,22.646
4,predpit,5,aa,185,0.549,0.384,0.743,0.643,0.821,16.476
0,predpit,10,00,35,0.583,0.457,0.711,0.657,0.790,19.515
1,predpit,10,10,3,0.033,0.000,0.193,0.133,0.481,46.859
2,predpit,10,01,69,0.454,0.203,0.713,0.551,0.762,24.771
3,predpit,10,11,63,0.238,0.095,0.531,0.429,0.652,30.545
4,predpit,10,aa,170,0.393,0.212,0.636,0.520,0.722,26.218
0,curtrack,2,00,98,0.872,0.827,0.946,0.920,0.960,3.117
1,curtrack,2,10,3,0.833,0.667,0.733,0.667,0.784,12.307
2,curtrack,2,01,48,0.490,0.333,0.798,0.721,0.859,13.459
3,curtrack,2,11,39,0.538,0.410,0.708,0.621,0.821,13.313
4,curtrack,2,aa,188,0.705,0.612,0.855,0.803,0.903,8.019
0,curtrack,5,00,75,0.803,0.747,0.891,0.859,0.914,8.658
1,curtrack,5,10,3,0.333,0.000,0.373,0.067,0.447,59.792
2,curtrack,5,01,59,0.437,0.203,0.753,0.600,0.802,20.862
3,curtrack,5,11,48,0.333,0.146,0.551,0.358,0.694,26.773
4,curtrack,5,aa,185,0.557,0.405,0.750,0.634,0.814,18.080
0,curtrack,10,00,35,0.649,0.657,0.781,0.720,0.818,19.881
1,curtrack,10,10,3,0.167,0.000,0.327,0.200,0.343,87.207
2,curtrack,10,01,69,0.452,0.174,0.714,0.559,0.772,24.385
3,curtrack,10,11,63,0.217,0.032,0.498,0.390,0.619,35.668
4,curtrack,10,aa,170,0.401,0.218,0.641,0.524,0.717,28.748
0,zerotrack,2,00,98,0.893,0.857,0.958,0.947,0.971,1.593
1,zerotrack,2,10,3,0.667,0.667,0.933,0.933,0.887,4.872
2,zerotrack,2,01,48,0.490,0.312,0.800,0.725,0.859,13.470
3,zerotrack,2,11,39,0.577,0.487,0.756,0.703,0.846,11.213
4,zerotrack,2,aa,188,0.721,0.638,0.876,0.839,0.915,6.674
0,zerotrack,5,00,75,0.813,0.773,0.917,0.899,0.946,3.362
1,zerotrack,5,10,3,0.667,0.333,0.880,0.800,0.829,8.542
2,zerotrack,5,01,59,0.451,0.203,0.756,0.603,0.802,20.781
3,zerotrack,5,11,48,0.425,0.208,0.625,0.458,0.750,20.875
4,zerotrack,5,aa,185,0.595,0.438,0.789,0.689,0.848,13.545
0,zerotrack,10,00,35,0.671,0.629,0.842,0.794,0.896,6.427
1,zerotrack,10,10,3,0.267,0.000,0.627,0.533,0.757,15.438
2,zerotrack,10,01,69,0.452,0.174,0.716,0.559,0.772,24.425
3,zerotrack,10,11,63,0.238,0.048,0.572,0.476,0.687,26.669
4,zerotrack,10,aa,170,0.415,0.218,0.687,0.576,0.766,21.392
0,deepAR,2,00,98,0.398,0.255,0.779,0.704,0.850,12.555
1,deepAR,2,10,3,0.000,0.000,0.600,0.533,0.683,25.517
2,deepAR,2,01,48,0.385,0.229,0.702,0.583,0.763,21.822
3,deepAR,2,11,39,0.410,0.385,0.615,0.528,0.724,21.798
4,deepAR,2,aa,188,0.391,0.271,0.722,0.634,0.799,17.045
0,deepAR,5,00,75,0.405,0.160,0.739,0.611,0.808,16.920
1,deepAR,5,10,3,0.000,0.000,0.627,0.533,0.606,32.211
2,deepAR,5,01,59,0.349,0.102,0.688,0.498,0.717,28.985
3,deepAR,5,11,48,0.296,0.104,0.532,0.354,0.630,33.960
4,deepAR,5,aa,185,0.352,0.124,0.667,0.507,0.729,25.437
0,deepAR,10,00,35,0.506,0.486,0.722,0.623,0.753,22.372
1,deepAR,10,10,3,0.133,0.000,0.587,0.467,0.712,17.949
2,deepAR,10,01,69,0.380,0.174,0.626,0.420,0.671,33.426
3,deepAR,10,11,63,0.213,0.079,0.473,0.365,0.591,37.796
4,deepAR,10,aa,170,0.339,0.200,0.588,0.442,0.659,32.497
0,naive,2,00,98,0.883,0.847,0.932,0.918,0.939,5.555
1,naive,2,10,3,0.500,0.333,0.833,0.733,0.858,7.634
2,naive,2,01,48,0.562,0.417,0.792,0.717,0.831,15.976
3,naive,2,11,39,0.551,0.462,0.697,0.621,0.761,19.712
4,naive,2,aa,188,0.726,0.649,0.846,0.802,0.873,11.186
0,naive,5,00,75,0.771,0.640,0.860,0.803,0.868,13.545
1,naive,5,10,3,0.400,0.333,0.680,0.400,0.644,30.505
2,naive,5,01,59,0.478,0.186,0.740,0.580,0.763,24.542
3,naive,5,11,48,0.338,0.125,0.532,0.325,0.625,35.079
4,naive,5,aa,185,0.559,0.357,0.734,0.601,0.768,22.914
0,naive,10,00,35,0.514,0.257,0.715,0.634,0.663,37.799
1,naive,10,10,3,0.200,0.000,0.473,0.267,0.422,65.581
2,naive,10,01,69,0.428,0.145,0.684,0.513,0.718,29.174
3,naive,10,11,63,0.230,0.063,0.479,0.356,0.566,41.738
4,naive,10,aa,170,0.368,0.135,0.611,0.475,0.645,36.248
0,zero,2,00,98,0.944,0.939,0.984,0.980,0.988,0.596
1,zero,2,10,3,0.833,0.667,1.000,1.000,0.954,2.146
2,zero,2,01,48,0.573,0.438,0.790,0.721,0.842,15.937
3,zero,2,11,39,0.667,0.590,0.797,0.744,0.880,9.893
4,zero,2,aa,188,0.790,0.734,0.896,0.865,0.928,6.466
0,zero,5,00,75,0.941,0.920,0.972,0.957,0.985,0.382
1,zero,5,10,3,0.667,0.333,0.960,0.933,0.910,3.944
2,zero,5,01,59,0.488,0.237,0.745,0.597,0.794,22.463
3,zero,5,11,48,0.454,0.250,0.652,0.500,0.776,19.428
4,zero,5,aa,185,0.666,0.519,0.816,0.723,0.869,12.423
0,zero,10,00,35,0.866,0.829,0.946,0.903,0.970,0.794
1,zero,10,10,3,0.500,0.333,0.947,0.933,0.890,4.780
2,zero,10,01,69,0.487,0.203,0.716,0.562,0.775,24.801
3,zero,10,11,63,0.305,0.079,0.602,0.521,0.712,24.610
4,zero,10,aa,170,0.498,0.288,0.725,0.624,0.794,19.434
