,runid,acc,mae,rmse,r2
0,fulloracle,0.622,4.293,37.680,0.318
1,laponly,0.635,4.459,42.387,0.271
2,notracklap,0.662,4.302,39.410,0.286
3,fullpred,0.536,7.396,103.910,0.020
4,curtrack,0.495,8.748,136.991,0.017
5,zerotrack,0.563,5.032,50.707,-0.035
6,predtrack,0.581,5.847,71.324,0.129
7,predpit,0.590,5.131,53.590,0.033
8,deepAR,0.446,9.892,145.739,-0.022
9,naive,0.158,4.545,46.419,0.000
