,runid,acc,mae,rmse,r2
0,fulloracle,0.565,6.992,85.113,0.253
1,laponly,0.528,8.516,122.976,0.153
2,notracklap,0.532,8.794,130.528,0.157
3,fullpred,0.488,7.831,106.952,0.127
4,curtrack,0.476,7.633,99.367,0.131
5,zerotrack,0.520,7.024,89.202,0.179
6,predtrack,0.520,7.270,91.577,0.191
7,predpit,0.488,8.690,126.488,0.113
8,deepAR,0.464,9.347,140.605,0.047
9,naive,0.210,4.040,41.460,0.000
