,runid,acc,mae,rmse,r2
0,fulloracle,0.617,3.339,24.476,0.100
1,laponly,0.577,3.823,33.565,0.172
2,notracklap,0.585,3.815,33.847,0.190
3,fullpred,0.524,3.738,30.569,-0.021
4,curtrack,0.585,5.379,62.976,-0.051
5,zerotrack,0.520,3.863,34.137,-0.045
6,predtrack,0.516,3.633,29.004,-0.026
7,predpit,0.577,3.992,35.968,0.099
8,deepAR,0.532,5.992,74.887,-0.095
9,naive,0.210,4.040,41.460,0.000
