,runid,acc,mae,rmse,r2
0,fulloracle,0.712,3.662,31.986,-0.017
1,laponly,0.698,3.712,32.613,-0.143
2,notracklap,0.703,3.559,30.180,-0.094
3,fullpred,0.626,4.275,44.734,-0.989
4,curtrack,0.680,3.842,34.149,-0.132
5,zerotrack,0.689,3.775,33.874,-0.132
6,predtrack,0.721,3.617,31.887,-0.038
7,predpit,0.622,4.266,44.185,-0.867
8,deepAR,0.613,4.171,41.505,-0.683
9,naive,0.158,4.545,46.419,0.000
