,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,predtrack,5,aa,185,0.750,0.643,0.861,0.775,0.848,10.975
0,predtrack,10,00,9,0.878,0.778,1.000,1.000,0.911,3.738
1,predtrack,10,10,6,0.717,0.667,1.000,1.000,0.938,3.566
2,predtrack,10,01,67,0.733,0.567,0.758,0.576,0.714,23.720
3,predtrack,10,11,88,0.688,0.614,0.811,0.723,0.816,10.657
4,predtrack,10,aa,170,0.716,0.606,0.807,0.689,0.785,15.189
0,predpit,2,00,64,0.891,0.859,0.981,0.972,0.966,1.152
1,predpit,2,10,24,0.917,0.875,0.971,0.967,0.957,1.760
2,predpit,2,01,57,0.588,0.491,0.754,0.681,0.768,19.476
3,predpit,2,11,43,0.791,0.721,0.928,0.902,0.910,5.917
4,predpit,2,aa,188,0.779,0.718,0.899,0.867,0.892,7.875
0,predpit,5,00,40,0.960,0.950,0.988,0.965,0.960,1.661
1,predpit,5,10,13,0.662,0.615,0.926,0.908,0.945,2.755
2,predpit,5,01,65,0.483,0.292,0.663,0.480,0.664,31.191
3,predpit,5,11,67,0.612,0.433,0.843,0.749,0.847,10.863
4,predpit,5,aa,185,0.645,0.508,0.817,0.712,0.814,15.446
0,predpit,10,00,9,0.744,0.778,0.978,0.933,0.882,5.153
1,predpit,10,10,6,0.717,0.667,0.990,0.967,0.920,5.171
2,predpit,10,01,67,0.528,0.313,0.634,0.412,0.606,40.005
3,predpit,10,11,88,0.539,0.477,0.738,0.632,0.757,17.552
4,predpit,10,aa,170,0.552,0.435,0.718,0.573,0.710,25.307
0,curtrack,2,00,64,0.906,0.891,0.988,0.981,0.970,0.959
1,curtrack,2,10,24,0.896,0.833,0.971,0.967,0.959,1.668
2,curtrack,2,01,57,0.596,0.491,0.749,0.684,0.773,18.829
3,curtrack,2,11,43,0.779,0.721,0.921,0.893,0.913,5.755
4,curtrack,2,aa,188,0.782,0.723,0.898,0.869,0.896,7.564
0,curtrack,5,00,40,0.975,0.975,0.998,0.990,0.967,1.356
1,curtrack,5,10,13,0.662,0.615,0.938,0.923,0.955,1.878
2,curtrack,5,01,65,0.483,0.323,0.665,0.474,0.670,30.643
3,curtrack,5,11,67,0.642,0.507,0.845,0.758,0.852,10.626
4,curtrack,5,aa,185,0.659,0.551,0.821,0.720,0.820,15.040
0,curtrack,10,00,9,0.856,0.556,0.996,0.956,0.913,3.424
1,curtrack,10,10,6,0.717,0.667,0.997,1.000,0.932,3.921
2,curtrack,10,01,67,0.509,0.209,0.630,0.358,0.587,43.527
3,curtrack,10,11,88,0.558,0.477,0.732,0.609,0.742,19.645
4,curtrack,10,aa,170,0.560,0.382,0.715,0.542,0.697,27.644
0,zerotrack,2,00,64,0.906,0.891,0.991,0.984,0.971,0.928
1,zerotrack,2,10,24,0.896,0.875,0.967,0.967,0.955,2.049
2,zerotrack,2,01,57,0.570,0.456,0.753,0.677,0.767,19.743
3,zerotrack,2,11,43,0.767,0.698,0.923,0.898,0.913,5.774
4,zerotrack,2,aa,188,0.771,0.713,0.900,0.869,0.894,7.884
0,zerotrack,5,00,40,0.970,0.975,1.000,1.000,0.966,1.366
1,zerotrack,5,10,13,0.662,0.615,0.935,0.908,0.952,2.170
2,zerotrack,5,01,65,0.486,0.323,0.676,0.483,0.671,30.647
3,zerotrack,5,11,67,0.624,0.463,0.844,0.752,0.850,10.776
4,zerotrack,5,aa,185,0.653,0.535,0.825,0.722,0.819,15.118
0,zerotrack,10,00,9,0.889,0.889,0.998,0.978,0.911,3.511
1,zerotrack,10,10,6,0.717,0.667,1.000,1.000,0.926,4.641
2,zerotrack,10,01,67,0.504,0.254,0.630,0.367,0.586,43.654
3,zerotrack,10,11,88,0.549,0.466,0.727,0.600,0.742,19.720
4,zerotrack,10,aa,170,0.555,0.412,0.713,0.542,0.696,27.762
0,deepAR,2,00,64,0.898,0.891,0.989,0.981,0.971,1.005
1,deepAR,2,10,24,0.917,0.875,0.971,0.967,0.959,1.741
2,deepAR,2,01,57,0.544,0.421,0.754,0.688,0.777,19.361
3,deepAR,2,11,43,0.756,0.674,0.912,0.884,0.911,6.063
4,deepAR,2,aa,188,0.761,0.697,0.898,0.868,0.897,7.821
0,deepAR,5,00,40,0.975,0.975,0.995,0.990,0.969,1.392
1,deepAR,5,10,13,0.662,0.615,0.935,0.908,0.950,2.195
2,deepAR,5,01,65,0.492,0.323,0.676,0.502,0.690,28.782
3,deepAR,5,11,67,0.660,0.537,0.840,0.755,0.857,10.447
4,deepAR,5,aa,185,0.669,0.562,0.822,0.728,0.829,14.352
0,deepAR,10,00,9,0.867,0.889,0.993,1.000,0.899,4.941
1,deepAR,10,10,6,0.717,0.667,0.993,0.967,0.916,5.154
2,deepAR,10,01,67,0.525,0.299,0.662,0.430,0.629,36.361
