,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
3,fullpred,10,11,88,0.333,0.250,0.603,0.511,0.646,28.033
4,fullpred,10,aa,170,0.385,0.253,0.606,0.459,0.608,36.196
0,predtrack,2,00,64,0.875,0.875,0.945,0.934,0.954,2.337
1,predtrack,2,10,24,0.750,0.708,0.875,0.842,0.892,6.029
2,predtrack,2,01,57,0.956,0.947,0.921,0.909,0.919,3.351
3,predtrack,2,11,43,0.605,0.535,0.793,0.744,0.854,8.243
4,predtrack,2,aa,188,0.822,0.798,0.894,0.871,0.913,4.467
0,predtrack,5,00,40,0.920,0.900,0.936,0.925,0.943,2.942
1,predtrack,5,10,13,0.400,0.385,0.751,0.723,0.747,26.108
2,predtrack,5,01,65,0.846,0.738,0.906,0.877,0.908,3.572
3,predtrack,5,11,67,0.490,0.418,0.756,0.690,0.805,13.103
4,predtrack,5,aa,185,0.702,0.632,0.847,0.809,0.867,8.471
0,predtrack,10,00,9,0.711,0.667,0.771,0.689,0.675,35.386
1,predtrack,10,10,6,0.817,0.833,0.857,0.800,0.803,19.715
2,predtrack,10,01,67,0.804,0.716,0.901,0.875,0.887,4.740
3,predtrack,10,11,88,0.465,0.375,0.752,0.702,0.776,14.648
4,predtrack,10,aa,170,0.624,0.541,0.815,0.773,0.815,12.020
0,predpit,2,00,64,0.812,0.797,0.834,0.809,0.784,25.023
1,predpit,2,10,24,0.708,0.667,0.729,0.683,0.696,33.217
2,predpit,2,01,57,0.579,0.456,0.767,0.695,0.797,16.913
3,predpit,2,11,43,0.535,0.395,0.728,0.623,0.754,20.305
4,predpit,2,aa,188,0.665,0.585,0.776,0.716,0.770,22.531
0,predpit,5,00,40,0.840,0.800,0.794,0.735,0.719,34.522
1,predpit,5,10,13,0.431,0.385,0.548,0.492,0.409,80.291
2,predpit,5,01,65,0.418,0.246,0.630,0.471,0.646,32.819
3,predpit,5,11,67,0.454,0.284,0.617,0.472,0.635,33.221
4,predpit,5,aa,185,0.523,0.389,0.655,0.530,0.641,36.669
0,predpit,10,00,9,0.389,0.222,0.400,0.200,0.131,128.597
