,runid,acc,mae,rmse,r2
0,fulloracle,0.569,7.544,93.810,0.228
1,laponly,0.508,8.919,128.976,0.130
2,notracklap,0.516,9.000,130.710,0.133
3,fullpred,0.476,7.968,110.887,0.099
4,curtrack,0.480,7.593,99.036,0.114
5,zerotrack,0.500,6.706,84.480,0.181
6,predtrack,0.504,6.935,88.540,0.179
7,predpit,0.484,8.774,126.621,0.100
8,deepAR,0.480,9.444,145.935,0.057
9,naive,0.210,4.040,41.460,0.000
