,runid,acc,mae,rmse,r2
0,fulloracle,0.730,3.077,21.950,0.440
1,laponly,0.721,3.014,21.644,0.442
2,notracklap,0.730,2.905,19.671,0.472
3,fullpred,0.680,3.527,29.383,0.204
4,curtrack,0.689,3.536,30.275,0.303
5,zerotrack,0.712,3.586,30.730,0.201
6,predtrack,0.698,3.194,24.716,0.310
7,predpit,0.694,3.266,25.797,0.218
8,deepAR,0.622,4.757,46.450,-0.166
9,naive,0.158,4.545,46.419,0.000
