,runid,acc,mae,rmse,r2
0,fulloracle,0.512,7.149,87.552,0.195
1,laponly,0.532,8.181,109.964,0.135
2,notracklap,0.516,8.181,113.294,0.130
3,fullpred,0.508,7.113,87.121,0.141
4,curtrack,0.480,7.524,95.927,0.105
5,zerotrack,0.508,6.754,78.875,0.157
6,predtrack,0.472,7.000,87.073,0.145
7,predpit,0.524,8.657,121.673,0.118
8,deepAR,0.468,8.976,133.621,0.073
9,naive,0.210,4.040,41.460,0.000
