,runid,acc,mae,rmse,r2
0,fulloracle,0.552,4.000,38.040,-0.837
1,laponly,0.573,3.988,37.835,-0.845
2,notracklap,0.569,3.915,37.351,-0.756
3,fullpred,0.540,4.048,38.911,-0.968
4,curtrack,0.560,3.952,37.750,-0.872
5,zerotrack,0.569,3.980,37.383,-0.828
6,predtrack,0.548,4.065,39.105,-0.825
7,predpit,0.560,4.056,39.565,-0.782
8,deepAR,0.540,4.157,39.827,-0.782
9,naive,0.210,4.040,41.460,0.000
