,runid,acc,mae,rmse,r2
0,fulloracle,0.605,3.879,35.677,-0.013
1,laponly,0.601,4.028,37.254,0.105
2,notracklap,0.601,4.125,39.181,0.073
3,fullpred,0.552,4.185,38.742,-0.032
4,curtrack,0.601,5.190,61.190,-0.092
5,zerotrack,0.569,4.181,41.141,-0.056
6,predtrack,0.577,3.968,35.653,-0.032
7,predpit,0.593,4.141,38.536,0.085
8,deepAR,0.577,5.093,57.569,-0.195
9,naive,0.210,4.040,41.460,0.000
