,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,predtrack,5,aa,185,0.758,0.659,0.861,0.779,0.854,10.564
0,predtrack,10,00,9,0.889,0.889,0.996,0.978,0.914,3.586
1,predtrack,10,10,6,0.717,0.667,1.000,1.000,0.931,4.028
2,predtrack,10,01,67,0.706,0.507,0.752,0.573,0.724,22.787
3,predtrack,10,11,88,0.666,0.591,0.816,0.725,0.829,9.535
4,predtrack,10,aa,170,0.695,0.576,0.807,0.688,0.796,14.249
0,predpit,2,00,64,0.922,0.906,0.983,0.972,0.972,0.845
1,predpit,2,10,24,0.917,0.875,0.971,0.967,0.958,1.757
2,predpit,2,01,57,0.544,0.456,0.754,0.688,0.769,19.582
3,predpit,2,11,43,0.779,0.698,0.921,0.893,0.913,6.064
4,predpit,2,aa,188,0.774,0.718,0.898,0.867,0.895,7.836
0,predpit,5,00,40,0.965,0.950,0.989,0.975,0.965,1.377
1,predpit,5,10,13,0.662,0.615,0.942,0.923,0.953,2.035
2,predpit,5,01,65,0.492,0.308,0.681,0.508,0.683,29.212
3,predpit,5,11,67,0.648,0.507,0.843,0.758,0.853,10.519
4,predpit,5,aa,185,0.663,0.541,0.824,0.729,0.825,14.514
0,predpit,10,00,9,0.767,0.667,0.967,0.889,0.898,4.272
1,predpit,10,10,6,0.717,0.667,0.993,0.967,0.925,4.803
2,predpit,10,01,67,0.545,0.328,0.648,0.421,0.630,36.548
3,predpit,10,11,88,0.559,0.420,0.744,0.645,0.775,15.777
4,predpit,10,aa,170,0.570,0.406,0.727,0.581,0.730,22.967
0,curtrack,2,00,64,0.906,0.891,0.989,0.981,0.973,0.852
1,curtrack,2,10,24,0.917,0.875,0.967,0.958,0.957,1.800
2,curtrack,2,01,57,0.588,0.474,0.756,0.691,0.776,19.161
3,curtrack,2,11,43,0.779,0.698,0.921,0.893,0.914,5.795
4,curtrack,2,aa,188,0.782,0.718,0.900,0.870,0.898,7.655
0,curtrack,5,00,40,0.975,0.975,0.999,0.995,0.970,1.204
1,curtrack,5,10,13,0.662,0.615,0.938,0.923,0.955,1.893
2,curtrack,5,01,65,0.511,0.338,0.674,0.489,0.684,29.262
3,curtrack,5,11,67,0.654,0.522,0.845,0.761,0.853,10.580
4,curtrack,5,aa,185,0.674,0.562,0.825,0.728,0.826,14.506
0,curtrack,10,00,9,0.889,0.889,0.998,0.978,0.915,3.574
1,curtrack,10,10,6,0.717,0.667,1.000,1.000,0.931,4.162
2,curtrack,10,01,67,0.546,0.299,0.649,0.391,0.628,37.301
3,curtrack,10,11,88,0.560,0.466,0.738,0.630,0.767,16.779
4,curtrack,10,aa,170,0.578,0.429,0.726,0.567,0.726,23.722
0,zerotrack,2,00,64,0.914,0.906,0.991,0.984,0.973,0.807
1,zerotrack,2,10,24,0.917,0.875,0.967,0.958,0.956,2.087
2,zerotrack,2,01,57,0.544,0.439,0.749,0.684,0.769,19.735
3,zerotrack,2,11,43,0.756,0.698,0.921,0.893,0.914,5.750
4,zerotrack,2,aa,188,0.766,0.713,0.898,0.869,0.896,7.840
0,zerotrack,5,00,40,0.975,0.975,0.998,0.990,0.969,1.271
1,zerotrack,5,10,13,0.662,0.615,0.938,0.923,0.954,1.957
2,zerotrack,5,01,65,0.492,0.308,0.682,0.508,0.683,29.337
3,zerotrack,5,11,67,0.645,0.522,0.845,0.755,0.853,10.590
4,zerotrack,5,aa,185,0.664,0.551,0.827,0.731,0.825,14.555
0,zerotrack,10,00,9,0.889,0.889,0.993,0.978,0.915,3.608
1,zerotrack,10,10,6,0.717,0.667,1.000,1.000,0.930,4.299
2,zerotrack,10,01,67,0.531,0.313,0.650,0.406,0.626,37.708
3,zerotrack,10,11,88,0.557,0.477,0.743,0.636,0.768,16.696
4,zerotrack,10,aa,170,0.570,0.441,0.728,0.576,0.725,23.847
0,deepAR,2,00,64,0.906,0.891,0.991,0.984,0.975,0.795
1,deepAR,2,10,24,0.917,0.875,0.971,0.967,0.963,1.555
2,deepAR,2,01,57,0.561,0.439,0.747,0.684,0.785,18.969
3,deepAR,2,11,43,0.744,0.651,0.916,0.888,0.917,5.844
4,deepAR,2,aa,188,0.766,0.697,0.897,0.869,0.903,7.557
0,deepAR,5,00,40,0.975,0.975,0.997,0.995,0.969,1.369
1,deepAR,5,10,13,0.662,0.615,0.935,0.908,0.953,1.965
2,deepAR,5,01,65,0.489,0.338,0.672,0.498,0.691,28.758
3,deepAR,5,11,67,0.645,0.537,0.837,0.749,0.857,10.447
4,deepAR,5,aa,185,0.663,0.568,0.821,0.725,0.830,14.322
0,deepAR,10,00,9,0.889,0.889,1.000,1.000,0.903,4.792
1,deepAR,10,10,6,0.700,0.667,0.997,1.000,0.919,5.146
2,deepAR,10,01,67,0.530,0.299,0.664,0.421,0.632,36.512
3,deepAR,10,11,88,0.547,0.477,0.734,0.627,0.772,16.251
4,deepAR,10,aa,170,0.564,0.435,0.730,0.579,0.729,23.238
0,naive,2,00,64,0.906,0.891,0.991,0.984,0.983,0.534
1,naive,2,10,24,0.917,0.875,0.971,0.967,0.969,1.268
2,naive,2,01,57,0.570,0.456,0.758,0.695,0.800,18.154
3,naive,2,11,43,0.791,0.721,0.919,0.893,0.928,5.402
4,naive,2,aa,188,0.779,0.718,0.901,0.873,0.913,7.083
0,naive,5,00,40,0.975,0.975,1.000,1.000,0.975,1.005
1,naive,5,10,13,0.662,0.615,0.938,0.923,0.958,1.607
2,naive,5,01,65,0.486,0.308,0.686,0.514,0.701,28.397
3,naive,5,11,67,0.660,0.522,0.843,0.758,0.866,10.037
4,naive,5,aa,185,0.667,0.551,0.828,0.736,0.838,13.943
0,naive,10,00,9,0.889,0.889,1.000,1.000,0.921,3.741
1,naive,10,10,6,0.717,0.667,1.000,1.000,0.941,3.260
2,naive,10,01,67,0.507,0.254,0.645,0.388,0.636,37.330
3,naive,10,11,88,0.550,0.455,0.744,0.636,0.779,16.305
4,naive,10,aa,170,0.557,0.406,0.728,0.571,0.736,23.466
0,zero,2,00,64,0.000,0.000,0.106,0.106,-0.194,170.053
1,zero,2,10,24,0.000,0.000,0.175,0.175,-0.119,149.835
2,zero,2,01,57,0.018,0.018,0.135,0.137,-0.052,136.900
3,zero,2,11,43,0.047,0.047,0.140,0.135,-0.060,132.149
4,zero,2,aa,188,0.016,0.016,0.131,0.131,-0.111,148.751
0,zero,5,00,40,0.000,0.000,0.090,0.090,-0.218,179.428
1,zero,5,10,13,0.000,0.000,0.138,0.138,-0.244,184.211
2,zero,5,01,65,0.015,0.015,0.122,0.132,-0.068,140.454
3,zero,5,11,67,0.030,0.030,0.165,0.149,-0.057,130.721
4,zero,5,aa,185,0.016,0.016,0.132,0.130,-0.109,148.431
0,zero,10,00,9,0.000,0.000,0.000,0.000,-0.224,185.056
1,zero,10,10,6,0.000,0.000,0.133,0.133,-0.304,199.634
2,zero,10,01,67,0.015,0.015,0.102,0.137,-0.103,151.873
3,zero,10,11,88,0.031,0.023,0.157,0.125,-0.068,132.699
4,zero,10,aa,170,0.022,0.018,0.126,0.124,-0.098,145.390
