,runid,acc,mae,rmse,r2
0,fulloracle,0.589,5.690,62.754,0.266
1,laponly,0.492,7.242,89.516,0.162
2,notracklap,0.528,6.907,84.173,0.191
3,fullpred,0.540,5.782,66.266,0.149
4,curtrack,0.524,6.097,70.129,0.114
5,zerotrack,0.552,5.117,49.464,0.227
6,predtrack,0.516,6.008,69.234,0.148
7,predpit,0.508,7.419,98.210,0.121
8,deepAR,0.496,8.480,126.802,0.070
9,naive,0.210,4.040,41.460,0.000
