,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
3,fullpred,10,11,88,0.590,0.477,0.697,0.584,0.721,19.560
4,fullpred,10,aa,170,0.565,0.406,0.689,0.528,0.673,28.310
0,predtrack,2,00,64,0.906,0.922,0.989,0.981,0.971,0.821
1,predtrack,2,10,24,0.938,0.875,0.950,0.933,0.940,2.444
2,predtrack,2,01,57,0.728,0.649,0.814,0.765,0.832,12.613
3,predtrack,2,11,43,0.872,0.814,0.914,0.888,0.916,3.787
4,predtrack,2,aa,188,0.848,0.809,0.914,0.888,0.912,5.282
0,predtrack,5,00,40,0.930,0.900,0.993,0.990,0.956,1.648
1,predtrack,5,10,13,0.800,0.846,0.948,0.923,0.941,2.334
2,predtrack,5,01,65,0.674,0.569,0.775,0.655,0.784,16.242
3,predtrack,5,11,67,0.776,0.657,0.851,0.776,0.866,6.899
4,predtrack,5,aa,185,0.775,0.692,0.862,0.790,0.862,8.726
0,predtrack,10,00,9,0.567,0.222,0.989,0.978,0.898,4.348
1,predtrack,10,10,6,0.717,0.667,0.987,0.933,0.926,3.499
2,predtrack,10,01,67,0.675,0.448,0.735,0.525,0.699,26.643
3,predtrack,10,11,88,0.734,0.625,0.801,0.734,0.810,10.190
4,predtrack,10,aa,170,0.701,0.535,0.791,0.672,0.775,16.129
0,predpit,2,00,64,0.852,0.844,0.963,0.947,0.945,3.496
1,predpit,2,10,24,0.896,0.833,0.933,0.908,0.934,3.308
2,predpit,2,01,57,0.596,0.491,0.737,0.656,0.775,18.405
3,predpit,2,11,43,0.791,0.721,0.902,0.865,0.914,5.342
4,predpit,2,aa,188,0.766,0.707,0.877,0.835,0.885,8.415
0,predpit,5,00,40,0.895,0.875,0.940,0.900,0.895,8.566
1,predpit,5,10,13,0.692,0.692,0.938,0.923,0.927,3.760
2,predpit,5,01,65,0.517,0.369,0.672,0.520,0.671,29.701
3,predpit,5,11,67,0.663,0.493,0.780,0.660,0.833,11.208
4,predpit,5,aa,185,0.664,0.546,0.788,0.681,0.796,16.611
0,predpit,10,00,9,0.689,0.333,0.911,0.800,0.749,21.629
1,predpit,10,10,6,0.717,0.667,0.977,0.933,0.934,2.603
2,predpit,10,01,67,0.482,0.239,0.631,0.385,0.583,42.214
3,predpit,10,11,88,0.560,0.443,0.707,0.586,0.744,17.644
4,predpit,10,aa,170,0.542,0.365,0.698,0.531,0.687,27.007
0,curtrack,2,00,64,0.906,0.906,0.988,0.975,0.973,0.698
1,curtrack,2,10,24,0.938,0.875,0.963,0.950,0.948,1.683
2,curtrack,2,01,57,0.588,0.491,0.749,0.667,0.790,17.248
3,curtrack,2,11,43,0.709,0.628,0.888,0.851,0.901,5.559
4,curtrack,2,aa,188,0.769,0.713,0.889,0.850,0.898,6.953
0,curtrack,5,00,40,0.940,0.900,0.996,0.995,0.956,1.612
1,curtrack,5,10,13,0.754,0.769,0.938,0.923,0.940,2.225
2,curtrack,5,01,65,0.529,0.369,0.683,0.526,0.687,27.901
3,curtrack,5,11,67,0.684,0.552,0.802,0.681,0.832,10.808
4,curtrack,5,aa,185,0.690,0.578,0.812,0.711,0.816,14.222
0,curtrack,10,00,9,0.567,0.222,0.998,0.978,0.896,4.455
1,curtrack,10,10,6,0.717,0.667,0.990,0.900,0.914,5.040
2,curtrack,10,01,67,0.491,0.164,0.648,0.379,0.613,38.788
3,curtrack,10,11,88,0.558,0.364,0.688,0.543,0.713,20.406
4,curtrack,10,aa,170,0.538,0.288,0.699,0.514,0.690,26.264
0,zerotrack,2,00,64,0.906,0.922,0.986,0.978,0.974,0.690
1,zerotrack,2,10,24,0.938,0.875,0.950,0.933,0.945,1.979
2,zerotrack,2,01,57,0.579,0.491,0.753,0.670,0.790,17.358
3,zerotrack,2,11,43,0.756,0.651,0.879,0.847,0.894,5.970
4,zerotrack,2,aa,188,0.777,0.723,0.886,0.849,0.896,7.116
0,zerotrack,5,00,40,0.935,0.875,0.993,0.990,0.958,1.506
1,zerotrack,5,10,13,0.769,0.769,0.942,0.923,0.948,1.823
2,zerotrack,5,01,65,0.532,0.400,0.686,0.526,0.689,27.808
3,zerotrack,5,11,67,0.678,0.567,0.790,0.678,0.836,10.737
4,zerotrack,5,aa,185,0.689,0.589,0.808,0.709,0.818,14.113
0,zerotrack,10,00,9,0.556,0.222,0.996,0.978,0.903,3.770
1,zerotrack,10,10,6,0.717,0.667,0.993,0.967,0.933,3.218
2,zerotrack,10,01,67,0.500,0.209,0.653,0.394,0.615,38.571
3,zerotrack,10,11,88,0.608,0.466,0.720,0.618,0.739,17.994
4,zerotrack,10,aa,170,0.566,0.359,0.718,0.561,0.706,24.829
