,runid,acc,mae,rmse,r2
0,fulloracle,0.552,4.065,39.766,-0.576
1,laponly,0.548,4.060,39.770,-0.561
2,notracklap,0.585,4.012,38.496,-0.582
3,fullpred,0.556,4.073,40.000,-0.629
4,curtrack,0.565,4.093,40.730,-0.714
5,zerotrack,0.560,4.028,39.915,-0.642
6,predtrack,0.560,4.117,40.206,-0.571
7,predpit,0.552,4.085,40.480,-0.672
8,deepAR,0.569,4.020,39.294,-0.667
9,naive,0.210,4.040,41.460,0.000
