,runid,acc,mae,rmse,r2
0,fulloracle,0.662,3.802,31.838,0.188
1,laponly,0.667,3.869,34.068,0.118
2,notracklap,0.662,3.950,34.185,0.139
3,fullpred,0.613,4.523,46.550,-0.430
4,curtrack,0.649,3.865,32.865,0.113
5,zerotrack,0.658,3.968,35.257,0.091
6,predtrack,0.649,3.928,33.703,0.127
7,predpit,0.581,4.563,46.239,-0.412
8,deepAR,0.631,4.230,41.176,-0.622
9,naive,0.158,4.545,46.419,0.000
