,runid,acc,mae,rmse,r2
0,fulloracle,0.593,3.718,34.677,-0.465
1,laponly,0.560,3.851,35.875,-0.479
2,notracklap,0.581,3.863,36.500,-0.474
3,fullpred,0.540,3.976,37.492,-0.895
4,curtrack,0.565,3.883,35.440,-0.452
5,zerotrack,0.585,3.976,36.879,-0.378
6,predtrack,0.569,3.665,34.036,-0.430
7,predpit,0.552,3.931,37.214,-0.817
8,deepAR,0.585,4.282,43.177,-0.537
9,naive,0.210,4.040,41.460,0.000
