,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,predtrack,5,aa,185,0.642,0.459,0.818,0.731,0.866,12.103
0,predtrack,10,00,35,0.797,0.714,0.946,0.903,0.959,1.262
1,predtrack,10,10,3,0.500,0.333,0.927,0.867,0.883,5.036
2,predtrack,10,01,69,0.526,0.261,0.725,0.580,0.782,22.885
3,predtrack,10,11,63,0.317,0.111,0.602,0.521,0.711,23.964
4,predtrack,10,aa,170,0.504,0.300,0.728,0.629,0.794,18.518
0,predpit,2,00,98,0.913,0.898,0.985,0.982,0.986,0.581
1,predpit,2,10,3,0.833,0.667,1.000,1.000,0.951,2.183
2,predpit,2,01,48,0.562,0.438,0.794,0.733,0.836,16.217
3,predpit,2,11,39,0.756,0.718,0.815,0.764,0.874,9.730
4,predpit,2,aa,188,0.790,0.739,0.901,0.873,0.924,6.497
0,predpit,5,00,75,0.896,0.813,0.971,0.955,0.979,0.610
1,predpit,5,10,3,0.667,0.333,0.960,0.933,0.907,4.023
2,predpit,5,01,59,0.512,0.339,0.757,0.624,0.798,20.846
3,predpit,5,11,48,0.517,0.312,0.662,0.504,0.774,18.578
4,predpit,5,aa,185,0.671,0.524,0.823,0.732,0.867,11.781
0,predpit,10,00,35,0.803,0.743,0.946,0.903,0.961,1.120
1,predpit,10,10,3,0.500,0.333,0.947,0.933,0.882,5.055
2,predpit,10,01,69,0.525,0.275,0.742,0.626,0.785,22.149
3,predpit,10,11,63,0.359,0.143,0.614,0.543,0.715,23.408
4,predpit,10,aa,170,0.520,0.324,0.740,0.658,0.797,17.984
0,curtrack,2,00,98,0.929,0.908,0.984,0.982,0.985,0.652
1,curtrack,2,10,3,0.833,0.667,1.000,1.000,0.950,2.207
2,curtrack,2,01,48,0.573,0.438,0.790,0.721,0.836,16.215
3,curtrack,2,11,39,0.667,0.590,0.813,0.764,0.874,9.889
4,curtrack,2,aa,188,0.782,0.718,0.899,0.870,0.923,6.566
0,curtrack,5,00,75,0.909,0.853,0.972,0.957,0.979,0.616
1,curtrack,5,10,3,0.667,0.333,0.960,0.933,0.905,4.077
2,curtrack,5,01,59,0.519,0.305,0.759,0.624,0.798,21.023
3,curtrack,5,11,48,0.504,0.292,0.663,0.508,0.775,18.610
4,curtrack,5,aa,185,0.676,0.524,0.824,0.734,0.867,11.849
0,curtrack,10,00,35,0.817,0.771,0.946,0.903,0.960,1.180
1,curtrack,10,10,3,0.500,0.333,0.947,0.933,0.885,4.925
2,curtrack,10,01,69,0.513,0.290,0.737,0.594,0.784,22.365
3,curtrack,10,11,63,0.340,0.159,0.617,0.533,0.714,23.606
4,curtrack,10,aa,170,0.511,0.341,0.739,0.641,0.796,18.155
0,zerotrack,2,00,98,0.908,0.878,0.985,0.982,0.985,0.674
1,zerotrack,2,10,3,0.833,0.667,1.000,1.000,0.950,2.209
2,zerotrack,2,01,48,0.542,0.375,0.792,0.725,0.834,16.463
3,zerotrack,2,11,39,0.744,0.692,0.800,0.749,0.874,9.828
4,zerotrack,2,aa,188,0.779,0.707,0.897,0.868,0.923,6.629
0,zerotrack,5,00,75,0.891,0.813,0.972,0.957,0.978,0.641
1,zerotrack,5,10,3,0.667,0.333,0.960,0.933,0.904,4.094
2,zerotrack,5,01,59,0.522,0.322,0.752,0.620,0.798,20.965
3,zerotrack,5,11,48,0.517,0.312,0.677,0.521,0.774,18.629
4,zerotrack,5,aa,185,0.672,0.519,0.825,0.736,0.867,11.846
0,zerotrack,10,00,35,0.823,0.714,0.945,0.903,0.959,1.247
1,zerotrack,10,10,3,0.500,0.333,0.947,0.933,0.884,4.925
2,zerotrack,10,01,69,0.520,0.304,0.734,0.594,0.785,22.307
3,zerotrack,10,11,63,0.357,0.127,0.619,0.530,0.715,23.509
4,zerotrack,10,aa,170,0.522,0.324,0.739,0.640,0.797,18.110
0,deepAR,2,00,98,0.898,0.888,0.984,0.980,0.984,0.749
1,deepAR,2,10,3,0.833,0.667,1.000,1.000,0.952,2.170
2,deepAR,2,01,48,0.552,0.458,0.796,0.738,0.833,16.372
3,deepAR,2,11,39,0.654,0.564,0.797,0.744,0.871,9.883
4,deepAR,2,aa,188,0.758,0.707,0.897,0.869,0.921,6.655
0,deepAR,5,00,75,0.885,0.813,0.969,0.949,0.976,0.838
1,deepAR,5,10,3,0.667,0.333,0.960,0.933,0.906,4.043
2,deepAR,5,01,59,0.488,0.322,0.762,0.644,0.795,21.008
3,deepAR,5,11,48,0.467,0.250,0.652,0.512,0.772,18.688
4,deepAR,5,aa,185,0.646,0.503,0.821,0.738,0.864,11.954
0,deepAR,10,00,35,0.817,0.714,0.942,0.897,0.954,1.666
1,deepAR,10,10,3,0.500,0.333,0.947,0.933,0.885,4.956
2,deepAR,10,01,69,0.509,0.275,0.732,0.591,0.781,22.027
3,deepAR,10,11,63,0.346,0.159,0.602,0.527,0.713,23.623
4,deepAR,10,aa,170,0.512,0.324,0.731,0.636,0.793,18.125
0,naive,2,00,98,0.944,0.939,0.984,0.980,0.988,0.596
1,naive,2,10,3,0.833,0.667,1.000,1.000,0.954,2.146
2,naive,2,01,48,0.573,0.438,0.790,0.721,0.842,15.937
3,naive,2,11,39,0.667,0.590,0.797,0.744,0.880,9.893
4,naive,2,aa,188,0.790,0.734,0.896,0.865,0.928,6.466
0,naive,5,00,75,0.941,0.920,0.972,0.957,0.985,0.382
1,naive,5,10,3,0.667,0.333,0.960,0.933,0.910,3.944
2,naive,5,01,59,0.488,0.237,0.745,0.597,0.794,22.463
3,naive,5,11,48,0.454,0.250,0.652,0.500,0.776,19.428
4,naive,5,aa,185,0.666,0.519,0.816,0.723,0.869,12.423
0,naive,10,00,35,0.866,0.829,0.946,0.903,0.970,0.794
1,naive,10,10,3,0.500,0.333,0.947,0.933,0.890,4.780
2,naive,10,01,69,0.487,0.203,0.716,0.562,0.775,24.801
3,naive,10,11,63,0.305,0.079,0.602,0.521,0.712,24.610
4,naive,10,aa,170,0.498,0.288,0.725,0.624,0.794,19.434
0,zero,2,00,98,0.138,0.143,0.202,0.202,0.082,129.438
1,zero,2,10,3,0.000,0.000,0.200,0.200,0.113,119.579
2,zero,2,01,48,0.156,0.146,0.148,0.146,0.019,145.813
3,zero,2,11,39,0.000,0.000,0.136,0.138,0.056,130.471
4,zero,2,aa,188,0.112,0.112,0.174,0.174,0.061,133.676
0,zero,5,00,75,0.157,0.173,0.205,0.205,0.086,128.355
1,zero,5,10,3,0.067,0.333,0.200,0.200,0.109,119.746
2,zero,5,01,59,0.132,0.119,0.157,0.153,0.028,144.819
3,zero,5,11,48,0.025,0.000,0.144,0.150,0.059,129.617
4,zero,5,aa,185,0.114,0.114,0.174,0.174,0.061,133.793
0,zero,10,00,35,0.211,0.229,0.211,0.211,0.081,127.948
1,zero,10,10,3,0.200,0.333,0.200,0.200,0.109,119.751
2,zero,10,01,69,0.114,0.101,0.164,0.159,0.034,143.908
3,zero,10,11,63,0.081,0.079,0.157,0.162,0.064,128.328
4,zero,10,aa,170,0.124,0.124,0.172,0.172,0.056,134.422
